target_gene	log2FC	padj	is_de
Lmo7	0.053812	0.924212	FALSE
Tbc1d4	-0.257656	0.00571	FALSE
Uchl3	-0.429027	0.008198	FALSE
Ednrb	0.050292	0.893817	FALSE
Kctd12	-0.473011	0.008727	FALSE
Cln5	-0.021387	0.953588	FALSE
Scel	-0.055449	0.948703	FALSE
Mycbp2	0.05547	0.751377	FALSE
Gm3248	0.466525	0.093897	FALSE
Gm6145	0.196932	0.403113	FALSE
Tpm3-rs7	-0.128835	0.834194	FALSE
Abcc4	0.284706	0.016463	FALSE
Dock9	-0.05429	0.769504	FALSE
Ubac2	0.010807	0.971346	FALSE
2610035F20Rik	-0.304426	0.150464	FALSE
Gm10837	0.152081	0.752615	FALSE
Zic2	-0.268821	0.003268	FALSE
Zic5	-0.692739	0	TRUE
4930594M22Rik	-0.419468	0.00608	FALSE
Clybl	-0.342026	0.01341	FALSE
Ggact	-0.112682	0.518759	FALSE
Pcca	0.094727	0.476741	FALSE
Fgf14	-0.154813	0.663191	FALSE
Gm5087	-1.334427	0	TRUE
Synpr	-1.339439	0	TRUE
Gm11100	0.193761	0.589899	FALSE
Slc4a7	-0.37246	2.2e-05	FALSE
B230110C06Rik	-0.803399	1.4e-05	TRUE
Il3ra	-0.28354	0.670738	FALSE
Lrrc3b	-0.652223	1e-06	TRUE
Ngly1	-0.522133	0	TRUE
Nid2	0.107164	0.840726	FALSE
Oxsm	0.011653	0.986038	FALSE
Psmd6	-0.070512	0.723584	FALSE
Rarb	-0.015498	0.97303	FALSE
Thrb	0.367657	0.020024	FALSE
Top2b	-0.072744	0.766392	FALSE
Ube2e1	0.026375	0.918363	FALSE
Ube2e2	0.299529	0.020344	FALSE
Gng2	-0.401633	0	FALSE
Polr3a	0.165865	0.329754	FALSE
Rps24	-0.11585	0.598345	FALSE
Zmiz1	-0.025139	0.915537	FALSE
Ankrd28	0.133255	0.1376	FALSE
Btd	-0.107434	0.817181	FALSE
Dph3	-0.010926	0.979988	FALSE
Galnt15	-0.910899	0	TRUE
Hacl1	-0.345607	0.225331	FALSE
Ncoa4	0.081845	0.711322	FALSE
Oxnad1	0.279427	0.160357	FALSE
Parg	0.0149	0.948134	FALSE
Timm23	-0.060604	0.775118	FALSE
Gdf10	0.141386	0.627765	FALSE
Zfp488	0.220217	0.731939	FALSE
Otx2	-1.339522	0	TRUE
Otx2os1	-1.288082	0	TRUE
Armh4	-0.428163	0.010251	FALSE
Naa30	-0.107847	0.513255	FALSE
Slc35f4	-0.635907	3.2e-05	TRUE
Arhgef40	0.389466	0.00078	FALSE
Gch1	-0.220957	0.865904	FALSE
Hnrnpc	-0.008387	0.974456	FALSE
Ndrg2	0.073052	0.636968	FALSE
Supt16	0.175144	0.160668	FALSE
Zfp219	0.187756	0.116458	FALSE
Gm29266	0.313937	0.764056	FALSE
Mipep	-0.330884	9e-06	FALSE
Dleu2	0.051471	0.880128	FALSE
Ebpl	-0.264303	0.429983	FALSE
Kpna3	0.022741	0.921515	FALSE
Sacs	-0.439338	0.000606	FALSE
Sgcg	-0.255759	0.907306	FALSE
Spryd7	-0.449653	0.000891	FALSE
Tnfrsf19	0.074251	0.879088	FALSE
Trim13	0.160237	0.702797	FALSE
Rnaseh2b	-0.315915	0.025283	FALSE
Fam124a	-0.38232	0.015233	FALSE
Chrna2	0.749997	0.676965	FALSE
Ctsb	-0.010139	0.981531	FALSE
Defb42	-0.151473	0.961051	FALSE
Fam167a	0.12152	0.929209	FALSE
Neil2	-0.109871	0.953969	FALSE
Serpine3	0.397494	0.723	FALSE
4930471C04Rik	0.457946	0.325189	FALSE
Mir124a-1hg	-0.015985	0.949611	FALSE
Msra	-0.093769	0.663173	FALSE
Prss52	0.473146	0.006079	FALSE
9930012K11Rik	-1.059909	0.341864	FALSE
Ccar2	0.024873	0.930672	FALSE
Pdlim2	0.239988	0.737818	FALSE
Sorbs3	0.20006	0.325189	FALSE
Fndc3a	0.004519	0.988312	FALSE
Htr2a	0.446298	0.478189	FALSE
Itm2b	-0.054272	0.680991	FALSE
Med4	0.037568	0.926979	FALSE
Rb1	-0.016185	0.964535	FALSE
Sucla2	0.142041	0.42489	FALSE
Cog3	-0.003283	0.98886	FALSE
Gtf2f2	-0.112412	0.536633	FALSE
Lcp1	-0.15156	0.682807	FALSE
Rubcnl	0.310391	0.751779	FALSE
Siah3	-0.600281	0.000402	TRUE
Slc25a30	-0.287579	0.183095	FALSE
Tpt1	-0.064319	0.870624	FALSE
Zc3h13	0.020563	0.948689	FALSE
Ccdc122	0.108893	0.896742	FALSE
Dnajc15	0.075532	0.754647	FALSE
Enox1	0.040555	0.898484	FALSE
Epsti1	0.233574	0.847301	FALSE
Lacc1	0.649082	0.274138	FALSE
Dgkh	-0.105783	0.688628	FALSE
Rgcc	-1.138627	0	TRUE
Vwa8	-0.031434	0.872146	FALSE
Elf1	-0.046131	0.849625	FALSE
Sugt1	0.101217	0.605098	FALSE
Wbp4	0.094071	0.555298	FALSE
Acox2	-0.552155	0.267874	FALSE
Gm3739	1.407725	0.000931	TRUE
Kctd6	-0.167862	0.271183	FALSE
Diaph3	0.229607	0.646153	FALSE
Pcdh9	-0.80032	0.019487	TRUE
Acvr1b	0.277815	0.000165	FALSE
Golph3	0.028571	0.899397	FALSE
Pdzd2	0.664664	8e-06	TRUE
Amacr	-0.086978	0.865141	FALSE
Cdh6	-0.035398	0.957559	FALSE
Npr3	0.417446	0.475702	FALSE
Slc45a2	1.283868	0.325189	FALSE
C030047K22Rik	-0.911122	0.126905	FALSE
Cdh10	-0.427305	0.312631	FALSE
Cdh12	-0.162962	0.724321	FALSE
Cdh9	-0.455626	0.742693	FALSE
Cdh18	-0.296503	0.278483	FALSE
Gm2824	-0.5552	0.666058	FALSE
Ank	-0.014822	0.955408	FALSE
Kcns2	0.541635	0.230332	FALSE
Fbxo43	0.085901	0.973491	FALSE
Polr2k	0.200975	0.539122	FALSE
Rgs22	-0.039563	0.970964	FALSE
Zfp706	-0.093363	0.573536	FALSE
Grhl2	-0.983863	0	TRUE
Angpt1	-1.978162	0	TRUE
Atp6v1c1	-0.017367	0.951012	FALSE
Cthrc1	-0.114675	0.822969	FALSE
Dcaf13	0.039734	0.8936	FALSE
Dpys	-0.676726	0.659535	FALSE
Eif3e	-0.00497	0.988557	FALSE
Fzd6	-0.019506	0.979795	FALSE
Lrp12	-0.099186	0.532902	FALSE
Rims2	-0.541103	0	TRUE
Slc25a32	-0.246751	0.195992	FALSE
Oxr1	-0.135906	0.707093	FALSE
Sybu	-0.646838	0	TRUE
Egflam	0.134422	0.830128	FALSE
Plcxd3	-0.242547	0.43471	FALSE
Ext1	-0.654142	0.000116	TRUE
Tnfrsf11b	0.195506	0.759385	FALSE
9130401M01Rik	-0.68917	0.005347	TRUE
Atad2	-0.227925	0.41344	FALSE
Derl1	-0.178386	0.187734	FALSE
Fam83a	-0.830121	0.50407	FALSE
Fam91a1	-0.112136	0.556602	FALSE
Fbxo32	0.037147	0.953095	FALSE
Gm29394	-0.339588	0.215623	FALSE
Sntb1	0.203109	0.723	FALSE
Tbc1d31	-0.964164	0	TRUE
Zhx2	-0.769328	0	TRUE
Tmem65	-0.375688	0	FALSE
Asap1	-0.003157	0.991626	FALSE
Efr3a	-0.014271	0.946541	FALSE
Lratd2	-0.457005	0.473554	FALSE
Adcy8	-0.463535	0.017336	FALSE
St3gal1	-0.003508	0.998068	FALSE
Tg	0.154116	0.881416	FALSE
Zfat	0.032215	0.923902	FALSE
Arc	0.53498	0.022695	TRUE
Mroh4	1.81091	0.038253	TRUE
1700001L05Rik	0.118206	0.95593	FALSE
Arfgap3	-0.253446	0.063344	FALSE
Nipbl	-0.113187	0.559531	FALSE
Slc1a3	-0.087347	0.389883	FALSE
Abcd2	0.190632	0.343976	FALSE
Kif21a	0.062342	0.790068	FALSE
Lrrk2	-0.369457	0.033891	FALSE
Pdzrn4	-0.010954	0.987499	FALSE
Slc2a13	-0.018588	0.983483	FALSE
Syt10	0.125015	0.666058	FALSE
Tmem117	-0.60144	0	TRUE
Cntn1	-0.262514	0.090274	FALSE
Ddx23	0.149236	0.410369	FALSE
Dnm1l	-0.048463	0.829942	FALSE
Fgd4	-0.151908	0.478189	FALSE
Pkp2	-0.632116	0.006609	TRUE
Spag6l	0.925075	0.300899	FALSE
Spidr	0.211244	0.708985	FALSE
Yars2	0.036955	0.929755	FALSE
Cebpd	0.45812	0.65426	FALSE
Mapk1	0.071186	0.36255	FALSE
Mzt2	0.164137	0.633897	FALSE
Ppm1f	0.187491	0.198035	FALSE
Top3b	0.048588	0.790483	FALSE
Ccdc188	0.04768	0.970964	FALSE
Dgcr6	-0.682406	0.632125	FALSE
Dgcr8	0.159364	0.301271	FALSE
Ess2	0.025353	0.949611	FALSE
Hic2	0.262831	0.303627	FALSE
Prodh	0.169824	0.402356	FALSE
Ranbp1	-0.038824	0.940925	FALSE
Rtn4r	-0.188741	0.164124	FALSE
Zdhhc8	-0.054709	0.879162	FALSE
B3gnt5	-0.11629	0.774287	FALSE
Ephb3	0.466048	0.300868	FALSE
Klhl6	0.311894	0.802666	FALSE
Vps8	-0.06069	0.754247	FALSE
Dgkg	-0.058924	0.812614	FALSE
A230028O05Rik	-0.950359	0.178883	FALSE
Bcl6	-0.517404	2.1e-05	TRUE
Lpp	-0.850095	0	TRUE
Masp1	0.075655	0.864838	FALSE
P3h2	0.204347	0.648006	FALSE
Rfc4	-0.200365	0.559842	FALSE
Rtp1	0.486856	0.845546	FALSE
Rtp4	0.564608	0.474315	FALSE
Atp13a5	0.100611	0.784729	FALSE
Fgf12	-0.160599	0.625064	FALSE
Plaat1	-0.039254	0.970198	FALSE
Mb21d2	-0.224453	0.091876	FALSE
Opa1	0.099767	0.141342	FALSE
Fam43a	-0.392916	0.187719	FALSE
Lsg1	-0.014967	0.970133	FALSE
Dlg1	-0.130537	0.19353	FALSE
Ccdc50	-0.126792	0.314469	FALSE
Cep19	-0.066827	0.886943	FALSE
Fbxo45	-0.280223	0.004746	FALSE
Lmln	0.11311	0.77428	FALSE
Lrch3	0.174097	0.13575	FALSE
Ncbp2	0.09532	0.714109	FALSE
Nrros	-0.900059	1.5e-05	TRUE
Osbpl11	-0.050122	0.804931	FALSE
Pak2	-0.069156	0.710916	FALSE
Pcyt1a	0.042951	0.867178	FALSE
Pigx	-0.061519	0.920311	FALSE
Pigz	0.060348	0.873532	FALSE
Rnf168	0.037402	0.924455	FALSE
Senp5	-0.009927	0.976206	FALSE
Slc51a	-0.16664	0.852097	FALSE
Tfrc	0.072035	0.815001	FALSE
Tnk2	0.106578	0.516676	FALSE
Ubxn7	0.096427	0.428136	FALSE
Wdr53	0.232126	0.563281	FALSE
Itgb5	-2.03026	0	TRUE
Gap43	-0.370897	0.024524	FALSE
Tigit	-1.804208	0.000351	TRUE
Sidt1	-0.342204	0.121589	FALSE
Spice1	-0.217969	0.324791	FALSE
Boc	-0.871549	0	TRUE
Ccdc80	0.503946	0.251954	FALSE
BC016579	0.601711	0.138564	FALSE
Abhd10	-0.102053	0.498579	FALSE
Atg3	0.102014	0.547315	FALSE
Btla	0.164367	0.887811	FALSE
Cd200	0.357267	0.000143	FALSE
Cip2a	-0.367772	0.515589	FALSE
Dzip3	0.078129	0.613181	FALSE
Nectin3	-0.170735	0.557495	FALSE
Phldb2	-0.314952	0.122399	FALSE
Plcxd2	-0.552944	0	TRUE
Slc35a5	0.03134	0.91616	FALSE
Tagln3	-0.066681	0.613671	FALSE
Tmprss7	0.589687	0.000696	TRUE
Alcam	-0.301093	0.283953	FALSE
Bbx	-0.186069	0.210286	FALSE
Cblb	-0.584588	0	TRUE
Dubr	0.240312	0.72709	FALSE
Ift57	-0.845631	0	TRUE
Nagpa	-0.541102	0.01204	TRUE
Abi3bp	-0.203856	0.290933	FALSE
Epha6	0.09959	0.852097	FALSE
4930453N24Rik	0.047726	0.857717	FALSE
Arl13b	-0.088438	0.715181	FALSE
Chmp2b	-0.160064	0.302451	FALSE
Epha3	-2.3578	0	TRUE
Htr1f	-0.205841	0.869073	FALSE
Nsun3	0.09703	0.777636	FALSE
Hspa13	-0.011669	0.981542	FALSE
Nrip1	-0.239132	0.000701	FALSE
Rbm11	-0.470525	0.483624	FALSE
Samsn1	0.01153	0.995885	FALSE
Usp25	-0.530794	0	TRUE
Mir99ahg	-0.566174	0.002602	TRUE
Ncam2	-0.235048	0.653267	FALSE
App	0.058693	0.633266	FALSE
Cyyr1	0.003441	0.997619	FALSE
Jam2	0.059215	0.823851	FALSE
A730009L09Rik	-0.219901	0.839942	FALSE
Grik1	0.052434	0.957635	FALSE
Sod1	-0.095448	0.673022	FALSE
Tiam1	0.064126	0.505226	FALSE
Bace2	-0.009751	0.991031	FALSE
Ripk4	2.261972	0	TRUE
Tmprss2	0.690202	0.674857	FALSE
B230307C23Rik	-0.020947	0.979189	FALSE
C2cd2	-0.055827	0.802607	FALSE
Prdm15	0.030836	0.905346	FALSE
Zbtb21	0.141965	0.258161	FALSE
Rcan2	-0.294556	0.210514	FALSE
Tdrd6	0.001422	0.999038	FALSE
Kif6	-0.139767	0.616248	FALSE
Plcl2	-0.254138	0.332663	FALSE
Tbc1d5	-0.02824	0.943086	FALSE
Efhb	-0.160307	0.862378	FALSE
Kat2b	0.039409	0.786275	FALSE
Rab5a	0.024066	0.915738	FALSE
Sgo1	0.311994	0.268567	FALSE
Dus3l	0.154637	0.540711	FALSE
Prr22	-0.215535	0.847386	FALSE
Dynlt1a	-0.530485	0.119327	FALSE
Gtf2h5	0.270102	0.124303	FALSE
Serac1	-0.23187	0.011371	FALSE
Tmem181a	-0.127389	0.273287	FALSE
Tulp4	0.002541	0.98953	FALSE
Fbxl17	-0.076053	0.742747	FALSE
Ddx11	-0.423411	0.054938	FALSE
Mtcl1	0.150979	0.098282	FALSE
Dlgap1	-0.194272	0.284112	FALSE
Tgif1	0.505845	0.538277	FALSE
Arhgef33	0.053134	0.90585	FALSE
Cdc42ep3	-0.15496	0.31431	FALSE
Cdkl4	-0.524188	0.013669	TRUE
Dhx57	0.071066	0.648708	FALSE
Gemin6	-0.700009	0.317099	FALSE
Morn2	-0.169854	0.660425	FALSE
Mta3	0.28888	0.007513	FALSE
Prkd3	0.136295	0.494525	FALSE
Sos1	-0.02907	0.900881	FALSE
Thumpd2	0.065006	0.848026	FALSE
Map4k3	-0.273965	0.000134	FALSE
Tmem178	0.021819	0.941939	FALSE
Slc8a1	-0.041399	0.947788	FALSE
T2	0.286638	0.730064	FALSE
Plekhh2	0.074394	0.811333	FALSE
Zfp36l2	0.069952	0.884473	FALSE
Slc3a1	0.228476	0.147265	FALSE
Prkce	0.102539	0.726422	FALSE
Srbd1	0.002501	0.995679	FALSE
Gata6	-1.117979	0.473815	FALSE
Ankrd29	0.150378	0.387382	FALSE
Chst9	0.022231	0.969723	FALSE
Lama3	-0.014072	0.988755	FALSE
Ttc39c	0.101808	0.471229	FALSE
Cabyr	-0.205822	0.210514	FALSE
Impact	0.180888	0.03376	FALSE
Osbpl1a	-0.477746	0	FALSE
Ss18	-0.197204	0.007641	FALSE
Zfp521	0.017693	0.956352	FALSE
Asxl3	0.002703	0.996098	FALSE
Dtna	-0.163844	0.424885	FALSE
Klhl14	-0.652258	0.648708	FALSE
Nol4	-0.667005	0	TRUE
Zfp397	-0.054899	0.824231	FALSE
Galnt1	0.044463	0.825219	FALSE
Ino80c	0.116283	0.824453	FALSE
Fhod3	0.599237	3.5e-05	TRUE
Celf4	0.25712	0.015055	FALSE
Epb41l4aos	0.218109	0.756688	FALSE
Nrep	-0.91619	0	TRUE
Egr1	-0.317207	0.202823	FALSE
Reep2	0.09192	0.772826	FALSE
Brd8	-0.010174	0.967637	FALSE
Ctnna1	0.010514	0.974792	FALSE
Etf1	-0.029587	0.894808	FALSE
Hspa9	0.094534	0.653267	FALSE
Kdm3b	-0.021289	0.902929	FALSE
Kif20a	0.105728	0.898842	FALSE
Matr3	-0.025989	0.961565	FALSE
Nme5	-0.294431	0.78078	FALSE
Paip2	0.10448	0.564397	FALSE
Prob1	-0.001309	0.999038	FALSE
Reep5	-0.130581	0.455971	FALSE
Spata24	0.844132	0.161061	FALSE
Gnpda1	0.007079	0.990702	FALSE
Kctd16	0.086474	0.891416	FALSE
Spry4	-1.101968	4.8e-05	TRUE
Nr3c1	-0.556417	1.5e-05	TRUE
Prelid2	-0.267058	0.874587	FALSE
Yipf5	0.026021	0.923059	FALSE
Gpr151	-0.276756	0.754756	FALSE
Jakmip2	0.108548	0.681595	FALSE
Stk32a	-0.020376	0.965631	FALSE
Dcp2	0.062118	0.685833	FALSE
Mcc	0.100327	0.501234	FALSE
Ythdc2	0.055068	0.80571	FALSE
Prr16	-0.183612	0.804556	FALSE
Gm26682	-0.812219	0.559995	FALSE
Svil	0.64183	0	TRUE
Zeb1	0.000473	0.998991	FALSE
Zfp438	-0.143859	0.471979	FALSE
Zfp474	0.110557	0.973505	FALSE
Snx24	-0.096109	0.539894	FALSE
Lox	0.812334	0.486623	FALSE
Ppic	0.128972	0.945551	FALSE
Prdm6	0.395007	0.405998	FALSE
Sncaip	0.086886	0.87381	FALSE
Snx2	0.028558	0.907306	FALSE
Jcad	0.45205	0.009906	FALSE
Zfp608	-0.935361	0	TRUE
C330018D20Rik	-0.331701	0.047673	FALSE
Lmnb1	0.032291	0.914733	FALSE
Marchf3	-1.02538	0	TRUE
Megf10	0.131382	0.450567	FALSE
Prrc1	0.142385	0.727242	FALSE
Srfbp1	0.040933	0.846692	FALSE
Isoc1	-0.605205	0.006892	TRUE
Bvht	0.170944	0.933475	FALSE
Ablim3	0.078141	0.469163	FALSE
Onecut2	1.775246	0	TRUE
Piezo2	0.44391	0.111313	FALSE
Oacyl	-0.345067	0.673323	FALSE
Zfp532	-0.007557	0.974456	FALSE
Lman1	-0.095609	0.525481	FALSE
Rab27b	0.000169	0.99971	FALSE
B430212C06Rik	-0.347401	0.77428	FALSE
Cidea	-1.221533	0.00049	TRUE
Impa2	-0.92749	0.002349	TRUE
Mppe1	-0.10901	0.683461	FALSE
Arhgap12	-0.088821	0.491376	FALSE
Colec12	0.11705	0.691129	FALSE
Epc1	0.103782	0.272842	FALSE
Esco1	-0.03685	0.896035	FALSE
Fzd8	0.80116	0.086246	FALSE
Kif5b	0.055113	0.764454	FALSE
Mkx	0.749068	2.7e-05	TRUE
Mpp7	-0.173636	0.329235	FALSE
Rock1	0.095628	0.720856	FALSE
Wac	-0.031025	0.896972	FALSE
Cep192	-0.410684	4.4e-05	FALSE
Fam210a	-0.209172	0.087113	FALSE
Ldlrad4	-0.396373	0.00738	FALSE
Mc5r	-1.436931	0.051481	FALSE
Tcf4	-0.085203	0.630218	FALSE
Setbp1	-0.009227	0.985601	FALSE
Adnp2	0.026854	0.937971	FALSE
Pard6g	-0.019116	0.924728	FALSE
Rbfa	-0.805912	0.00064	TRUE
Txnl4a	0.161859	0.506365	FALSE
Mbp	0.07532	0.805168	FALSE
Cd226	0.002232	0.999038	FALSE
Cpsf7	0.121375	0.538004	FALSE
Cyb561a3	-0.224503	0.748531	FALSE
Ddb1	0.114949	0.588613	FALSE
Sdhaf2	0.074809	0.765222	FALSE
Tkfc	-0.111903	0.834194	FALSE
Tmem138	-0.204491	0.78078	FALSE
Tmem216	-0.26484	0.355192	FALSE
Vwce	0.331218	0.814918	FALSE
Zfand5	-0.284618	0.014921	FALSE
1110059E24Rik	-0.289425	0.00056	FALSE
Abhd17b	-0.006016	0.985256	FALSE
Aldh1a1	0.137301	0.406279	FALSE
Cemip2	-0.638171	0	TRUE
Fxn	-0.002419	0.996741	FALSE
Kank1	0.111378	0.738061	FALSE
Pcsk5	0.246363	0.370298	FALSE
Smc5	-0.179454	0.19163	FALSE
Tmem252	0.060793	0.97303	FALSE
Trpm3	-1.048875	0	TRUE
Trpm6	0.438551	0.377639	FALSE
Klf9	-0.042587	0.845648	FALSE
Mamdc2	-0.2531	0.403982	FALSE
Tjp2	-0.308861	0.000394	FALSE
Apba1	-0.179972	0.217146	FALSE
Pip5k1b	-0.096481	0.673323	FALSE
Kcnv2	-0.08496	0.952116	FALSE
Prkg1	-0.042349	0.967359	FALSE
Vldlr	-0.359779	0	FALSE
Ak3	-0.012429	0.963016	FALSE
Jak2	-0.396708	0.001067	FALSE
Rcl1	-0.198068	0.297076	FALSE
Slc1a1	0.210253	0.419842	FALSE
Lipo3	0.103614	0.722261	FALSE
Papss2	0.243547	0.189071	FALSE
Ppp1r3c	-0.029154	0.970964	FALSE
Lgi1	-1.423459	0	TRUE
Fra10ac1	-0.098494	0.583084	FALSE
Aldh18a1	-0.289522	0.024399	FALSE
Blnk	0.007088	0.995058	FALSE
Ccnj	-0.268127	0.061128	FALSE
Cyp26c1	0.243483	0.807265	FALSE
Entpd1	0.16414	0.650898	FALSE
Gm27042	-0.229282	0.900066	FALSE
Opalin	-0.040321	0.970562	FALSE
Tctn3	-0.16082	0.372173	FALSE
Tm9sf3	0.00661	0.982787	FALSE
Zfp518a	-0.463312	0.000597	FALSE
Golga7b	-0.458738	1.1e-05	FALSE
Scd1	-0.666207	0	TRUE
Scd4	0.217185	0.886927	FALSE
Sec31b	0.321332	0.792757	FALSE
Wnt8b	-0.360749	0.818986	FALSE
Add3	-0.500613	1.5e-05	TRUE
Adra2a	0.055572	0.92378	FALSE
Casp7	0.085909	0.959165	FALSE
Mxi1	0.131464	0.666058	FALSE
Smc3	0.137212	0.648708	FALSE
Sorcs1	0.451092	0.079473	FALSE
Xpnpep1	-0.007419	0.979795	FALSE
Mirt1	-0.777208	0.00018	TRUE
Smndc1	0.01112	0.978035	FALSE
Adrb1	0.352955	0.651012	FALSE
Bbip1	0.065173	0.752156	FALSE
Dclre1a	-0.035464	0.952513	FALSE
Dusp5	-0.241823	0.027207	FALSE
Gpam	0.103963	0.429583	FALSE
Nhlrc2	0.065708	0.765223	FALSE
Rbm20	0.153612	0.713619	FALSE
Shoc2	-0.052215	0.800305	FALSE
Vti1a	-0.038132	0.892183	FALSE
Zdhhc6	0.010159	0.975477	FALSE
Frmd8	0.172545	0.399447	FALSE
Slc25a45	0.323361	0.674105	FALSE
Bscl2	0.269503	0.032647	FALSE
Gng3	0.242142	0.853557	FALSE
Ubxn1	0.034443	0.93561	FALSE
Traf6	-0.027164	0.929492	FALSE
Elf5	0.889616	0.530554	FALSE
Pamr1	-0.208506	0.764648	FALSE
4931422A03Rik	0.332304	0.885015	FALSE
Apip	0.183992	0.148444	FALSE
Caprin1	0.073439	0.573274	FALSE
Cd44	0.213858	0.53608	FALSE
Commd9	-0.164904	0.648708	FALSE
Depdc7	0.225008	0.776536	FALSE
Fbxo3	0.005122	0.987885	FALSE
Fjx1	-0.210133	0.515724	FALSE
Ldlrad3	-0.778054	0	TRUE
Nat10	-0.036395	0.876504	FALSE
Pdhx	-0.13825	0.163372	FALSE
Prr5l	0.132835	0.639677	FALSE
Prrg4	-0.403587	0.377316	FALSE
Slc1a2	-0.027811	0.866807	FALSE
Dnajc24	-0.143024	0.200641	FALSE
Pax6	-0.248179	0.000445	FALSE
Arl14ep	0.050426	0.889014	FALSE
BB218582	-1.518048	0.002248	TRUE
Mpped2	-0.159337	0.352257	FALSE
Bdnf	-1.362386	0	TRUE
Kcna4	0.983525	0.000255	TRUE
Kif18a	-0.877054	0.003063	TRUE
Mettl15	-0.940947	0	TRUE
Ano3	-1.78751	0	TRUE
Bbox1	0.044502	0.941939	FALSE
Fibin	-0.375778	0.735127	FALSE
Ryr3	0.552546	3.7e-05	TRUE
Arhgap11a	0.217879	0.669066	FALSE
Gjd2	0.106809	0.83096	FALSE
Zfp770	-0.025343	0.941939	FALSE
D330050G23Rik	0.087918	0.864483	FALSE
Spred1	-0.174798	0.546852	FALSE
Rasgrp1	-9.1e-05	0.99971	FALSE
Adal	0.142031	0.449954	FALSE
Ccndbp1	-0.075833	0.738074	FALSE
Epb42	0.132108	0.923059	FALSE
Tgm5	-1.530409	2e-06	TRUE
Tmem62	-0.073277	0.712581	FALSE
Ubr1	0.012455	0.943211	FALSE
Ctxn2	0.003599	0.998482	FALSE
Myef2	-0.023473	0.886943	FALSE
Sema6d	-0.31677	0.043631	FALSE
Slc24a5	-0.026403	0.95593	FALSE
Sirpa	-0.005273	0.986422	FALSE
Smox	-0.024283	0.938112	FALSE
Prokr2	-0.926338	0.164522	FALSE
Bmp2	1.147612	0.284422	FALSE
Chgb	-0.062437	0.936619	FALSE
Crls1	-0.166678	0.270873	FALSE
Lrrn4	0.715937	0.630218	FALSE
Mcm8	0.3522	0.198749	FALSE
Shld1	-0.207043	0.320622	FALSE
Cds2	0.052054	0.737946	FALSE
Gfra4	0.484418	0.154589	FALSE
Pcna	-0.033249	0.943961	FALSE
Prn	-0.324977	0.63663	FALSE
Rassf2	0.054639	0.81322	FALSE
Lamp5	-0.669049	0.275576	FALSE
Snap25	-0.160328	0.546431	FALSE
Btbd3	-0.430486	0	FALSE
Gm14061	-1.402463	4e-06	TRUE
Gm14066	-0.494383	0.000933	FALSE
Ism1	-1.03869	0	TRUE
Jag1	0.198339	0.716977	FALSE
Macrod2	-0.335767	0.116739	FALSE
Tasp1	-0.038273	0.893294	FALSE
Kif16b	-0.553443	0	TRUE
Snrpb2	-0.012202	0.979479	FALSE
Bfsp1	-0.616722	0.149408	FALSE
Kat14	-0.173554	0.163419	FALSE
Pcsk2	-0.369534	0.021635	FALSE
Dzank1	0.051108	0.823941	FALSE
Mgme1	-0.297179	0.543095	FALSE
Polr3f	0.049028	0.818882	FALSE
Snx5	-0.20213	0.114212	FALSE
Cfap61	0.0883	0.953572	FALSE
Crnkl1	0.137893	0.456842	FALSE
Naa20	0.05388	0.820418	FALSE
Rin2	-0.240524	0.256533	FALSE
Gm14133	0.664773	0.131149	FALSE
Syndig1	0.263722	0.23809	FALSE
Apmap	0.185412	0.227122	FALSE
Abhd12	0.019861	0.914467	FALSE
Gins1	-0.19717	0.849212	FALSE
Efcab8	0.241433	0.869073	FALSE
Ncoa6	0.109749	0.190299	FALSE
Dsn1	0.459346	0.495328	FALSE
Ndrg3	0.247693	2.7e-05	FALSE
Sla2	-0.228321	0.611565	FALSE
Lpin3	0.228187	0.755235	FALSE
Slc12a5	0.209491	0.063435	FALSE
1810010K12Rik	0.17709	0.935144	FALSE
Arhgap21	0.144624	0.153966	FALSE
Armc3	1.125616	0.329235	FALSE
Enkur	-0.765586	0.489108	FALSE
Etl4	0.064633	0.872146	FALSE
Gad2	-0.013645	0.954696	FALSE
Gpr158	-0.209086	0.327817	FALSE
Msrb2	0.150759	0.745625	FALSE
Myo3a	-0.05986	0.915738	FALSE
Nebl	0.190678	0.384326	FALSE
Thnsl1	-0.324581	0.065602	FALSE
Abca2	-0.253696	0.164399	FALSE
Fam107b	-0.656205	0	TRUE
Crb2	-0.151511	0.802351	FALSE
Pdcl	0.111691	0.737818	FALSE
Rc3h2	0.121801	0.270873	FALSE
Strbp	0.140548	0.294413	FALSE
Psmb7	0.022009	0.923823	FALSE
Olfml2a	-0.43718	0.637568	FALSE
Lrp1b	0.011659	0.986038	FALSE
Gm13481	-0.174458	0.923293	FALSE
Phyh	-0.407542	0.012572	FALSE
Epc2	-0.033731	0.906732	FALSE
Nmi	0.026635	0.974258	FALSE
Rbm43	0.007155	0.98953	FALSE
Rif1	0.029584	0.960455	FALSE
Tnfaip6	0.215377	0.606559	FALSE
Galnt13	-0.274931	0.225331	FALSE
Kcnj3	0.003101	0.997086	FALSE
Acvr1	-0.365013	0.005753	FALSE
Upp2	-0.190328	0.318145	FALSE
Ccdc148	-0.066595	0.894426	FALSE
Pkp4	-0.143163	0.169647	FALSE
Fap	-0.712582	0.196658	FALSE
Dhtkd1	0.115787	0.839185	FALSE
