gene	n_enhancer_contacts	n_classes	classes	n_differential	median_logFC	mean_logFC	n_in_abc	mean_delta_abc
Acsl3	7	2	K119ub_Only;Stable	0	-0.0838744501618277	-0.0636709314137349	2	0.001749
Actn4	7	1	Stable	0	0.0218840604962273	0.0252835015467019	4	0.004919
Actr3	7	2	K119ub_Only;Stable	0	0.0920131802576193	0.0929271745406221	1	-0.034894
Adamts8	7	1	Stable	0	-0.0179351692484434	0.0247800983373218	6	0.009153
Adcy1	7	4	Activity_Gain;Activity_Lost;K119ub_Only;Stable	0	-0.0256619951377054	-0.0310318258386555	3	-0.00231666666666667
Adh5	7	1	Stable	0	-0.0929774494746053	-0.105679790398487	5	-0.0011102
Adora1	7	2	K119ub_Only;Stable	0	0.0492859416473531	0.045102861672202	4	0.0029455
Afap1l2	7	2	Activity_Lost;Stable	0	-0.0908271308840966	-0.0852979644989733	2	-0.0049155
Alms1	7	2	Activity_Lost;Stable	0	-0.0386784530379462	-0.0210521268658186	4	-0.00650575
Amn	7	1	Stable	0	0.0398318185416708	0.0110382585727576	0	NA
Ankrd10	7	2	K119ub_Only;Stable	0	0.115973761392693	0.0531646533223634	3	-0.00817166666666667
Apbb2	7	1	Stable	0	0.0554772157530678	0.0509609613637242	2	-0.00481
Aph1b	7	1	Stable	1	-0.0817046562243119	-0.0767560957108422	3	-0.00174866666666667
Arf4	7	1	Stable	0	0.0438572133314544	0.0463310065118178	3	0.000657333333333333
Atp11b	7	1	Stable	0	-0.0424171888359792	0.0154116443871333	3	-0.0130596666666667
Atp1b2	7	1	Stable	0	0.00892601277073846	0.00892601277073846	0	NA
Atp5g2	7	1	Stable	3	0.136555811808023	0.0951791691444652	7	0.00413814285714286
Bcl2l1	7	1	Stable	0	0.00308330281040255	-0.0185032841501933	4	-0.0077875
Bcl2l11	7	1	Stable	0	0.00266542361681407	0.0197076663551658	1	-0.004468
Bcr	7	1	Stable	0	0.0378783726639503	0.0362289079068661	4	-0.00086975
Bfar	7	2	K119ub_Only;Stable	0	0.1033452280655	0.0587733947279628	3	-0.00594333333333333
Bhlhe41	7	2	Activity_Lost;Stable	0	-0.117987711038479	-0.0624657081419511	0	NA
Bmf	7	2	Activity_Lost;Stable	0	-0.0199132786531046	-0.0317469229829034	0	NA
Boc	7	2	Activity_Lost;Stable	1	-0.0931328717736552	-0.108115950070152	5	-0.020693
Brd7	7	2	Activity_Gain;Stable	1	0.173227478272724	0.15033036595004	4	0.0219195
Calm2	7	2	Activity_Lost;Stable	0	-0.067533993462414	0.00513287126678543	7	-0.00466285714285714
Camk2d	7	3	Activity_Gain;K119ub_Only;Stable	0	-0.0546725905294928	-0.0392915909777813	5	-0.0046602
Camta2	7	2	Activity_Gain;Stable	0	-0.010984892885981	-0.0285118192750757	0	NA
Cand1	7	2	K119ub_Only;Stable	0	-0.0030276408461838	0.0243735907823703	0	NA
Card6	7	1	Stable	1	-0.117048507845301	-0.12635889747256	0	NA
Cbln1	7	2	Activity_Lost;Stable	0	-0.0233008705816492	-0.00266566906293902	2	-0.0142555
Cc2d2a	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.152003537435228	-0.158806058800742	1	-0.012298
Ccdc191	7	2	K119ub_Only;Stable	4	0.218281199305616	0.148241065916218	1	-0.014852
Ccdc71l	7	1	Stable	0	-0.11516254727476	-0.10622198115949	2	-0.0214955
Ccdc74a	7	1	Stable	0	-0.0174283812752281	-0.0144144509565733	0	NA
Cdc20b	7	1	Stable	4	0.0377181492254095	-0.0371181568778802	5	0.0169054
Cdkn2b	7	2	K119ub_Only;Stable	0	0.0309302073099239	0.0200613450938801	2	-0.012514
Celsr1	7	1	Stable	3	0.0447896599214287	0.095819957875341	1	-0.009088
Cep83	7	2	K119ub_Only;Stable	0	-0.253730510791837	-0.127835102636588	1	-0.003839
Cfap77	7	2	Activity_Gain;Stable	3	0.202689804049743	0.13339070330042	2	0.0014025
Cfl2	7	2	K119ub_Only;Stable	0	-0.19674377149972	-0.20420069730276	1	-0.012549
Chmp2b	7	1	Stable	3	-0.0425145730811299	-0.0975505035676809	4	-0.00379075
Chst15	7	2	Activity_Lost;Stable	0	-0.157483138068373	-0.178214017280132	4	-0.00834975
Cisd2	7	1	Stable	5	-0.247163654944461	-0.181464368600453	3	0.017875
Cnot2	7	2	Activity_Lost;Stable	2	0.0818864825693292	-0.0355266203658433	4	-0.0002085
Commd1b	7	1	Stable	2	-0.158776355023253	-0.121590447806963	2	-0.005955
Cspp1	7	1	Stable	2	0.00301282223914644	-0.0271367911393132	3	-0.00872
Cstf3	7	1	Stable	0	0.0931958168247482	0.0722420914620398	1	0.015048
Ctsl	7	1	Stable	0	-0.0246073883601025	-0.0224650336005253	3	-0.015619
Dclk2	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.131492022112331	-0.117192852015724	4	-0.0019695
Dcun1d3	7	1	Stable	0	-0.0466807182079699	-0.0659740672492786	0	NA
Ddhd1	7	2	K119ub_Only;Stable	0	0.194030886142077	0.0935554019405913	2	-0.0023525
Dennd5b	7	2	Activity_Lost;Stable	1	-0.0299248892109134	-0.0567005506957769	0	NA
Dpysl5	7	1	Stable	0	0.0498962101077863	0.0388871140685463	2	0.002204
Dubr	7	3	Activity_Gain;K119ub_Only;Stable	2	-0.00116665510080447	-0.0243835462726156	1	0.026737
Dus4l	7	2	Activity_Lost;Stable	0	0.0288911117523137	-0.00773197479039373	6	0.000888666666666667
Dusp6	7	2	K119ub_Only;Stable	2	-0.128142668346767	-0.175506075678703	1	0.025873
E2f8	7	2	Activity_Gain;Stable	3	-0.116889092335696	-0.139129559778117	4	0.0069415
Eef1a2	7	1	Stable	0	-0.0515739365264743	0.00114293384835902	0	NA
Eef1b2	7	2	Activity_Lost;Stable	3	0.0898507605571577	0.113295609580001	1	-0.001457
Eef2	7	1	Stable	0	-0.00958134211942069	-0.00433072024364485	1	-0.00011
Egln2	7	2	Activity_Lost;Stable	0	-0.0890826782931239	-0.0306921752082491	1	-0.006073
Eif3b	7	1	Stable	0	0.151419528494434	0.0934287191954212	3	-0.0117766666666667
Eif4e3	7	1	Stable	3	0.0925977644748038	-0.057213708822294	1	-0.003123
Eloc	7	2	Activity_Lost;Stable	1	-0.0856702441685243	-0.084735366138621	3	-0.003378
Enah	7	1	Stable	0	0.088041486224855	0.104848460956278	1	0.023905
Endod1	7	1	Stable	0	-0.0970904938756074	-0.082822331724963	4	0.00640625
Enox1	7	3	Activity_Lost;K119ub_Only;Stable	0	0.0826352435406024	0.0900579555354829	2	-0.041788
Epc1	7	2	K119ub_Only;Stable	0	-0.18217656935999	-0.114370489370828	1	0.007783
Epop	7	1	Stable	3	0.00739647866867521	-0.0721588820903592	2	-0.004571
Ermp1	7	2	K119ub_Only;Stable	0	-0.105169563513432	-0.124079380035036	5	-0.0047438
Fam155a	7	2	Activity_Gain;Stable	3	0.111070184181161	0.118435287150138	2	0.0017445
Fam160b2	7	1	Stable	0	0.00100412650453154	0.00100412650453154	1	0.003617
Fam83e	7	1	Stable	0	-0.128267031137324	-0.0531956328888343	1	0.005049
Fancd2os	7	2	Activity_Gain;Stable	0	0.0718673946134615	0.073616882827697	3	-0.00265266666666667
Fblim1	7	2	Activity_Gain;Stable	0	-0.123972208340226	-0.112130755350655	0	NA
Fbxo4	7	1	Stable	0	0.205219017894871	0.165885349190515	1	-0.008512
Gclc	7	1	Stable	1	-0.0372403776650772	-0.0903919894676326	4	0.002118
Gdap1	7	1	Stable	0	-0.0944084488861159	-0.0846592058207845	2	-0.010616
Gdf7	7	2	K119ub_Only;Stable	0	-0.0103243869971332	-0.041572382050889	4	-0.01189
Gm15155	7	3	Activity_Lost;K119ub_Only;Stable	0	0.156880299615106	0.0187806493664179	4	0.0101945
Gm15663	7	2	Activity_Lost;Stable	4	-0.122645927088881	-0.141508681425606	2	-0.001855
Gm15906	7	2	Activity_Lost;Stable	0	0.0311690814492969	0.0388319710828311	0	NA
Gm16091	7	1	Stable	0	-0.0103082372993165	-0.0225048574972399	1	-0.000803
Gm16244	7	3	Activity_Gain;Activity_Lost;Stable	1	0.0324804329664958	-0.0400671546866081	1	0.002289
Gm20492	7	2	Activity_Lost;Stable	0	-0.08983946812728	-0.08983946812728	0	NA
Gm20708	7	2	Activity_Lost;Stable	0	-0.000895012719232484	-0.0165185214530765	0	NA
Gm28557	7	2	K119ub_Only;Stable	6	-0.321998851504358	-0.270874572484762	3	0.012278
Gm29427	7	2	K119ub_Only;Stable	0	0.0178934346237942	0.0151395754980139	0	NA
Gm36315	7	2	Activity_Lost;Stable	0	-0.0231045653733516	-0.00928909300007042	4	-0.00490025
Gm38563	7	3	Activity_Gain;K119ub_Only;Stable	0	0.115718613525985	0.136058762936951	5	0.0228192
Gm40841	7	1	Stable	0	0.112749273190946	0.0863140307229992	3	0.00742933333333333
Gm4258	7	2	Activity_Lost;Stable	5	-0.333456247248353	-0.212347911844018	2	-0.031599
Gm43254	7	1	Stable	3	-0.0880188385650213	-0.118744911720102	1	-0.010922
Gm44081	7	1	Stable	0	0.0147839300271556	0.0186071124028912	2	-0.0014785
Gm47141	7	1	Stable	0	0.0296656973755795	0.0214483889000953	0	NA
Grb2	7	1	Stable	0	-0.0931727144690369	-0.0488091524986838	1	-0.006561
Grm1	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0707465242831731	-0.0354092647217465	4	-0.009361
Grm4	7	1	Stable	0	0.0648882205951078	0.0519965249537208	1	-0.005639
Hes1	7	2	Activity_Lost;Stable	0	0.133780120656786	0.128944914367856	2	-0.0215175
Hnrnpa3	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0366185622950749	0.0252040489369867	4	-0.000831
Hnrnph1	7	1	Stable	0	-0.0858300739653239	-0.0570284185204137	5	-0.0027502
Hnrnpll	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0434118257591778	-0.0493797719403228	2	-0.0213485
Hook1	7	2	K119ub_Only;Stable	0	-0.110543052712415	-0.103616391277746	3	-0.00457466666666667
Hoxa13	7	1	Stable	3	0.1158615641499	0.200983840037737	0	NA
Hoxb8	7	2	Activity_Lost;Stable	5	-0.298346286123545	-0.245716984388652	0	NA
Hoxc9	7	1	Stable	1	0.0543675779407651	0.0840799372756062	2	0.0017925
Hpse2	7	1	Stable	0	-0.0341614594366822	-0.0844068625959171	1	0.009682
Hs6st1	7	3	Activity_Lost;K119ub_Only;Stable	1	-0.0737098964680826	-0.0162635612861605	1	-0.012228
Hsp90b1	7	1	Stable	0	-0.0602729893061245	-0.0798523539918553	2	-0.022517
Htatip2	7	2	Activity_Gain;Stable	0	-0.0734123866454277	-0.0768425271600781	0	NA
Ice1	7	2	K119ub_Only;Stable	0	0.0871109192133501	0.0119777329752566	1	0.013369
Inhbb	7	1	Stable	1	0.0778496087084525	0.105632721744896	2	-0.00612
Isl2	7	1	Stable	4	-0.874502004546995	-0.529198555788795	0	NA
Itfg1	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0445421737076721	-0.016991496029465	4	-0.0036535
Katnb1	7	1	Stable	0	0.154375486082237	0.137356773035928	0	NA
Kcng3	7	1	Stable	0	0.0603523923737026	0.0591010913759286	4	-0.004699
Kdm3a	7	3	Activity_Gain;K119ub_Only;Stable	3	0.139989984910439	0.0599460533103474	4	0.01414925
Kif13a	7	3	Activity_Lost;K119ub_Only;Stable	0	0.0385510011225257	0.0281154142779251	6	-0.010209
Krr1	7	2	Activity_Lost;Stable	1	-0.071651019689465	-0.133984224976603	5	-0.0043174
Lasp1	7	1	Stable	0	-0.0216369564307917	-0.0374707836212259	3	-0.00591766666666667
Lhfp	7	3	Activity_Gain;K119ub_Only;Stable	0	0.0315115181742324	0.0368492765999662	2	-0.004373
Lrrc1	7	1	Stable	0	-0.0372403776650772	-0.0556274302120407	6	-0.018241
Lsamp	7	2	K119ub_Only;Stable	0	-0.0267229395454958	-0.0362827370381792	1	-0.014349
Lsg1	7	2	Activity_Lost;Stable	0	0.0917111363178405	0.0442272214789713	3	-0.000104
Map3k5	7	2	Activity_Lost;Stable	0	-0.036864057297181	-0.0496814891729967	4	-0.00928725
Marchf3	7	2	K119ub_Only;Stable	7	-0.146071784999504	-0.16193726779481	0	NA
Mcur1	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0764413061062693	-0.0691647058451075	0	NA
Med13l	7	2	Activity_Gain;Stable	3	0.0971169671506072	0.122220092086394	1	-0.00567
Med30	7	2	Activity_Lost;Stable	0	-0.047987149475666	-0.0179964508665013	3	0.0293196666666667
Mepce	7	1	Stable	0	-0.085090124131041	-0.066801598488807	1	0.003363
Metap1	7	1	Stable	0	-0.0703344127714256	-0.0573112759634372	4	0.002639
Mir670hg	7	2	Activity_Lost;Stable	1	-0.00401241557603435	-0.0528338405088794	2	-0.000342
Mkln1os	7	2	Activity_Gain;Stable	7	0.145957620111026	0.149926106038626	4	0.0023985
Mllt3	7	2	Activity_Lost;Stable	1	-0.139837844774813	-0.135024851153966	5	-0.0099538
Mmaa	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.123059523799969	-0.172518803084307	7	-0.00841942857142857
Mmp17	7	2	Activity_Lost;Stable	0	-0.060232198343595	-0.0412561019644397	3	-0.0224783333333333
Mrpl44	7	2	K119ub_Only;Stable	0	-0.0893414904729818	-0.106075744205511	4	0.0130015
Mrps25	7	1	Stable	0	-0.032591539703157	-0.0515218632254563	4	-0.0179435
Mrps26	7	1	Stable	0	-0.0482961216282686	0.0116071499944405	4	0.00633275
Mtfr1	7	2	Activity_Lost;Stable	1	0.095512353306734	0.112646230978519	1	0.003844
Mtfr1l	7	2	Activity_Lost;Stable	0	-0.0490241972982217	-0.0455060060458272	0	NA
Myh10	7	1	Stable	0	0.0491426197123294	-0.0138738893198387	1	0.01045
Nap1l2	7	1	Stable	0	0.109277544729785	0.116288846630631	2	-0.000328
Nbn	7	2	Activity_Lost;Stable	1	-0.169744077672475	-0.144560228363221	6	-0.00578683333333333
Ncbp1	7	2	Activity_Gain;Stable	1	0.068849422870408	0.0899841763095227	4	-0.00012425
Ndufa4	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.216786544984519	-0.0938515162503079	1	-0.009641
Nfkb1	7	1	Stable	3	-0.155005178302112	-0.140180895550714	2	-1.79999999999998e-05
Nfxl1	7	2	K119ub_Only;Stable	3	-0.164736500644898	-0.152073326153734	4	-0.01096525
Nmd3	7	2	Activity_Lost;Stable	0	-0.0204781490766941	-0.00821945431737446	0	NA
Noa1	7	2	K119ub_Only;Stable	0	0.0208919242346682	-0.0163291807200717	2	3.3e-05
Nsmce2	7	2	Activity_Lost;Stable	0	-0.046669202380387	-0.0635234225838944	1	-0.001135
Ntf3	7	1	Stable	3	0.107225221073058	0.110829067268995	2	0.009073
Osr2	7	3	Activity_Gain;K119ub_Only;Stable	0	-0.0260369299273515	0.0317084872865024	4	0.0048425
Ovca2	7	2	Activity_Lost;Stable	0	-0.0328185768576833	0.0232013174551991	3	-0.00204833333333333
Pacrg	7	2	Activity_Lost;Stable	5	-0.263232185472625	-0.096948832164165	5	-0.0141284
Pafah1b2	7	2	Activity_Gain;Stable	0	0.032700245866977	0.00977413290995725	1	-0.00021
Patj	7	2	K119ub_Only;Stable	0	-0.203932583890623	-0.187510497297142	2	-0.0111665
Pbx1	7	2	K119ub_Only;Stable	3	0.106120168669632	0.157762673070127	0	NA
Pcdhgc3	7	2	Activity_Gain;Stable	0	-0.0299319567075966	-0.0326190413259853	4	-0.00097575
Pcf11	7	3	Activity_Lost;K119ub_Only;Stable	5	-0.257741860683536	-0.202782554188074	1	0.00444
Pde9a	7	3	Activity_Gain;Activity_Lost;Stable	2	0.0754821347202705	0.0385753089865276	0	NA
Pds5a	7	1	Stable	0	-0.0346454879798531	-0.0469916371894052	7	-0.00786028571428571
Peli1	7	2	Activity_Lost;Stable	0	-0.0888683753860479	-0.0886770423811246	2	-0.015099
Pgk1	7	1	Stable	2	0.00445821422853989	-0.0151694636322493	4	0.00059025
Phf1	7	1	Stable	0	0.104233802422642	0.0750968927236777	1	-0.008583
Phlda1	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.0895513679168617	-0.105651527297612	2	-0.002608
Pkp3	7	1	Stable	4	-0.233257917496935	-0.166155537238704	0	NA
Plcb4	7	2	Activity_Gain;Stable	0	0.0203828161924393	-0.0308057728731203	4	0.0056185
Plxna1	7	2	Activity_Lost;Stable	0	-0.0686667710923072	-0.0574532040621239	6	-0.00366266666666667
Pno1	7	1	Stable	1	-0.0165360592429988	-0.0402809916658898	5	0.0028636
Pogk	7	2	Activity_Lost;Stable	0	-0.128733284444465	-0.139465117011123	0	NA
Ppargc1b	7	1	Stable	0	0.0409090141638329	0.00912790330567244	4	-0.00231825
Pqlc3	7	1	Stable	0	-0.0358100924498251	-0.0263485816587765	0	NA
Prag1	7	2	Activity_Lost;Stable	0	0.12176988404774	0.107736289929854	3	-0.0198216666666667
Prim2	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.0439701841200023	0.0847742752475255	0	NA
Prkacb	7	2	K119ub_Only;Stable	0	-0.0565865867565668	-0.0299511081691121	5	-0.0019086
Prmt8	7	1	Stable	5	0.199115932021724	0.222902992824996	0	NA
Prxl2c	7	2	Activity_Lost;Stable	3	-0.157327981786029	-0.117911252413923	4	-0.015086
Psma7	7	2	Activity_Lost;Stable	0	0.0507682709747376	0.0216428389681221	4	0.0006985
Ptcd2	7	3	Activity_Lost;K119ub_Only;Stable	3	-0.111198152677782	-0.144455797929488	1	-0.003662
Puf60	7	1	Stable	1	0.0802338420780153	0.0908352003277459	0	NA
Pwwp2b	7	2	Activity_Lost;Stable	0	0.0106778050738822	-0.00439939623778149	4	-0.013436
Qk	7	2	Activity_Lost;Stable	1	-0.161728073250567	-0.056866296208893	4	-0.00087525
Rab1a	7	1	Stable	0	-0.0907895797924573	-0.106354842534701	2	0.004924
Rapgef1	7	2	Activity_Gain;Stable	1	0.0467467962949514	0.0383035214042833	3	0.00135933333333333
Rbks	7	1	Stable	0	0.100222029194864	0.123170536996	6	0.003439
Rbm17	7	2	K119ub_Only;Stable	0	-0.0274206072693456	0.0360215732340372	0	NA
Rbm28	7	2	K119ub_Only;Stable	0	0.0341487240923095	0.0586647064854385	4	-0.00059075
Rbm4b	7	1	Stable	0	-0.0338907399754405	-0.0125513919245094	3	0.000139
Rbms2	7	2	Activity_Lost;Stable	0	0.02203890363904	0.02203890363904	0	NA
Rdh14	7	1	Stable	2	-0.0540124894044779	-0.0970315459584228	4	-0.022929
Rif1	7	2	K119ub_Only;Stable	0	0.0633067769856033	0.0499390711895386	3	0.00291466666666667
Rmnd5a	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.00778174632655094	-0.0316011775552101	4	0.0016775
Rnf122	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0402447641666369	-0.0849460861893217	1	0.002745
Rnf13	7	2	K119ub_Only;Stable	0	-0.0645903233438471	-0.101957936569589	3	-0.00863
Rnf144a	7	1	Stable	1	-0.236502837035063	-0.199202735880408	2	-0.008003
Rnf150	7	1	Stable	2	-0.202119327791027	-0.184535086024934	3	-0.00471033333333333
Ro60	7	1	Stable	0	-0.124587021721365	-0.0435429080026115	3	-0.012089
Rps13	7	1	Stable	1	-0.0982622920811901	-0.0993292990955669	2	-0.009662
Rps17	7	1	Stable	0	0.0936660178188625	0.00829066959840278	3	-0.0183893333333333
Rps29	7	1	Stable	0	0.132148519011226	0.0775501759104736	0	NA
Rrp1	7	1	Stable	0	0.0138667217676793	0.0075078815194435	0	NA
Runx1t1	7	3	Activity_Lost;K119ub_Only;Stable	4	-0.182189830368231	-0.144137507253419	4	-0.00025
Sbk1	7	2	K119ub_Only;Stable	0	0.0843242931729923	0.0199010745408652	1	-0.009733
Sdha	7	2	Activity_Lost;Stable	0	0.154614167291333	0.105163449166503	0	NA
Selenot	7	1	Stable	0	-0.0968483265003078	-0.114922899045548	4	0.00068625
Sema5b	7	1	Stable	0	0.0257650215736135	0.0156715697589756	6	0.00706666666666667
Sgms1	7	2	Activity_Lost;Stable	1	-0.177006615603572	-0.20981447603383	1	-0.020992
Sh3gl2	7	1	Stable	0	-0.0566193581642023	-0.0369888065796175	1	0.010787
Slc12a2	7	2	Activity_Lost;K119ub_Only	6	-0.190869953211076	-0.182963257572753	4	-0.03074225
Slc25a28	7	1	Stable	1	-0.0167874950238357	-0.0383029515531224	5	-0.001833
Slc4a4	7	2	K119ub_Only;Stable	0	-0.0416059934332166	-0.0117457628351569	3	0.002023
Slitrk2	7	2	Activity_Lost;Stable	1	-0.21276382356107	-0.130431193986718	3	-0.0133513333333333
Smg1	7	2	Activity_Lost;Stable	0	-0.0649755098811843	-0.0579415472617269	1	-0.00427
Smpd1	7	1	Stable	0	-0.0378457708849239	-0.0608361643239328	3	-0.00123466666666667
Snap25	7	3	Activity_Lost;K119ub_Only;Stable	5	-0.122229630823126	-0.126580552802188	2	0.0057365
Snap91	7	3	Activity_Lost;K119ub_Only;Stable	0	-0.0572614484643064	-0.0601792598464587	4	-0.01500675
Snapc1	7	1	Stable	0	-0.158261373163297	-0.12017337776177	0	NA
Snrnp48	7	2	Activity_Gain;Stable	4	0.264743483027784	0.159464822641967	3	0.00101433333333333
Sorcs2	7	2	Activity_Gain;Stable	5	0.215944820437269	0.239737074369565	0	NA
Sp4	7	2	Activity_Lost;Stable	6	-0.200463902797738	-0.195424101122502	6	-0.0318366666666667
Sptssa	7	1	Stable	0	0.0784241950434481	0.0589262272593788	2	-0.009637
Srd5a1	7	2	K119ub_Only;Stable	2	-0.225644010671939	-0.154146450643647	4	-0.003825
Sub1	7	2	Activity_Gain;Stable	0	-0.066753995192144	-0.0124781302325139	4	-0.010526
Tbl1x	7	2	Activity_Lost;Stable	0	0.0118893846815244	0.0522011717697479	6	-0.0123646666666667
Teddm1a	7	2	Activity_Gain;Stable	4	-0.247774028778864	-0.0971715630853211	2	0.017633
Tfam	7	2	K119ub_Only;Stable	3	-0.0181590655432757	0.0665457465704122	3	-0.003397
Tg	7	3	Activity_Lost;K119ub_Only;Stable	6	-0.264571738710607	-0.0750856515037991	2	-0.031433
Tk2	7	1	Stable	0	0.0025863701664584	0.0231008785333681	3	-0.000977
Tll1	7	3	Activity_Lost;K119ub_Only;Stable	4	-0.124192059933566	-0.136618145817921	2	-0.002194
Tmem168	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.130309840278196	-0.189670284143202	4	0.00352075
Tmem17	7	1	Stable	5	-0.264209423854501	-0.280194438919773	6	-0.00399116666666667
Tmem229b	7	1	Stable	0	0.018455482340201	0.016732318266064	2	-0.007635
Tmod1	7	1	Stable	0	0.129610110863622	0.11446084872035	5	-0.000937
Tmtc3	7	2	K119ub_Only;Stable	1	-0.133588132692941	-0.156654833109932	2	0.005162
Tor4a	7	1	Stable	0	0.044132995522632	0.0500227806379762	2	1.95000000000004e-05
Trappc11	7	2	K119ub_Only;Stable	0	0.0261541268493614	0.0225502135261153	3	0.0113076666666667
Trappc5	7	2	K119ub_Only;Stable	5	-0.741045192005028	-0.575197901534835	0	NA
Trim3	7	1	Stable	0	-0.161919234583244	-0.149174634852386	6	0.0002225
Trim7	7	1	Stable	0	-0.000119927425774822	-0.013276882404694	0	NA
Tsga10	7	2	Activity_Lost;Stable	2	-0.109142126634051	-0.123803131948218	0	NA
Tshz1	7	1	Stable	2	-0.0642529196338888	-0.0435854971247665	2	0.0013075
Tsn	7	2	Activity_Lost;Stable	3	0.00753291507635137	0.0404167446403977	3	-0.00550866666666667
Tspan13	7	3	Activity_Lost;K119ub_Only;Stable	1	-0.086760954408922	-0.127858547943472	5	0.0035954
Tspan7	7	3	Activity_Lost;K119ub_Only;Stable	2	-0.166401015713946	-0.106983079109586	4	-0.0101525
Uba1	7	2	K119ub_Only;Stable	0	0.0447708392659668	0.0782480090810801	4	0.007964
Vcp	7	3	Activity_Gain;Activity_Lost;Stable	0	0.0310455020853939	0.0310455020853939	0	NA
Vps50	7	1	Stable	5	-0.213013723341681	-0.231356359779546	4	0.00847125
Wdr37	7	1	Stable	3	-0.256137523709555	-0.275479052226988	2	-0.0030705
Xpa	7	2	Activity_Lost;Stable	0	0.0314004722593874	0.00417522922091474	3	-0.002855
Zbtb14	7	2	Activity_Gain;Stable	0	-0.0201029121491681	-0.093341088024479	3	-0.005195
Zdhhc14	7	2	Activity_Lost;Stable	0	0.0417870868374404	0.027390489071319	4	0.0008295
Zfp26	7	1	Stable	6	-0.147930859223531	-0.166058830108981	1	0.005977
Zfp263	7	1	Stable	3	-0.110622086481523	-0.133298399247821	6	-0.00897733333333333
Zfp35	7	2	K119ub_Only;Stable	0	0.00622977615665106	-9.68078817557204e-05	1	-0.009696
Zfp407	7	1	Stable	4	-0.16348044486119	-0.0874659980556087	5	-0.00212
Zfp597	7	2	Activity_Gain;Stable	3	-0.0677216912571315	-0.0376786420860663	3	0.00533933333333333
Zfp609	7	1	Stable	0	0.0470278380321034	0.0499343305196872	3	-0.00417033333333333
Zfp65	7	2	K119ub_Only;Stable	4	-0.289446585261677	-0.225871637309209	6	-0.00157683333333333
0610043K17Rik	6	1	Stable	0	-0.0601625959344785	-0.0601678796266036	5	0.0002196
1110059E24Rik	6	3	Activity_Lost;K119ub_Only;Stable	0	0.0164369433707402	0.00703525944482263	2	-0.0073165
1700104B16Rik	6	2	Activity_Gain;Stable	0	0.0155345465832184	-0.000301830459357569	5	0.0090154
1700127F24Rik	6	1	Stable	1	0.039429980799306	0.0479059047620503	3	-0.005256
2610316D01Rik	6	3	Activity_Gain;K119ub_Only;Stable	0	-0.105066134699197	-0.116364280500656	1	-0.016386
4933408J17Rik	6	1	Stable	4	-0.195857587361285	-0.163738509039305	1	-0.003452
A730071L15Rik	6	2	Activity_Gain;Stable	0	-0.0279646304662677	-0.0380739248422167	3	0.001573
Aatf	6	1	Stable	0	-0.0701032773112233	-0.0306009768525989	0	NA
Abcd2	6	1	Stable	0	-0.0338060906674315	-0.0338060906674315	2	0.009504
Actl6a	6	2	K119ub_Only;Stable	0	0.0062669130133808	-0.0169922151013705	0	NA
Add3	6	1	Stable	2	-0.148689625554183	-0.164625883052945	3	0.00113633333333333
Akr1e1	6	1	Stable	0	0.0639304752958944	0.0138428980018078	3	0.000341
AL805980.1	6	2	Activity_Lost;Stable	0	0.059946613073626	0.059946613073626	5	-0.014644
Aldh1l2	6	2	Activity_Lost;Stable	0	-0.00278027024698305	-0.0252698812167782	0	NA
Aldh5a1	6	2	K119ub_Only;Stable	3	0.101356796196659	0.0899520577444456	3	0.00681066666666667
Angpt1	6	2	Activity_Lost;Stable	6	-0.461408050060454	-0.520529964770833	3	-0.024457
Ap3d1	6	2	Activity_Lost;Stable	0	0.0396255221778764	0.0401528055978564	1	0.006131
Aqp11	6	3	Activity_Gain;K119ub_Only;Stable	0	0.209328240305763	0.209328240305763	1	0.016388
Arf5	6	2	Activity_Lost;Stable	1	-0.0617431748448174	-0.0528408945514048	2	-0.006257
Arfgef3	6	2	Activity_Lost;Stable	0	-0.0438067593121853	-0.047887963901688	0	NA
Asah1	6	3	Activity_Lost;K119ub_Only;Stable	0	-0.139706719058081	-0.118688680842189	4	-0.020451
Ash1l	6	1	Stable	0	0.0412577310628695	0.0203804075919572	0	NA
Ash2l	6	1	Stable	0	0.0054816891167563	-0.00161552613808043	0	NA
Atf6	6	3	Activity_Lost;K119ub_Only;Stable	6	-0.318092086235095	-0.318092086235095	0	NA
Atp1a1	6	2	Activity_Lost;Stable	0	0.061609819573839	0.0613671735747183	5	-0.0050658
Bag4	6	1	Stable	3	-0.0877052784058754	-0.0877052784058754	3	0.00208633333333333
Baz2b	6	2	Activity_Lost;Stable	0	0.0162157521119542	-0.026092770621336	3	0.0131903333333333
