symbol	K119ub	K27me3	K27ac	ATAC	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_annotation	mc_ctrl	mc_mut	mc_difference
Hhip	0.141728	0.19433212131126	-0.189597371106236	0.00104237110382153	-0.0077	0.979	Promoter	0.7309	0.7293	-0.0016
Npffr2	0.140264	-0.136301549895416	-0.805748983282472	0.0408410647627879	-0.0847	0.664	Promoter	0.7986	0.7997	0.0011
Krtap16-1	0.136648	-0.2490380086386	1.14934208872312	0.582153730556124	0.0091	0.963	Promoter	0.3246	0.3168	-0.0078
Ntng2	0.136358	-0.865600588665462	-0.160422241417046	0.0659088897073234	-0.7004	0.038	Promoter	0.5721	0.579	0.0069
Thsd7a	0.129551	1.20887128736857	-0.220148934529494	0.057770306894201	0.0227	0.918	Promoter	0.8011	0.7988	-0.0023
Irf2bp2	0.124407	4.12449926497517	0.629737044065905	0.164823632323214	-0.054	0.75	Promoter	0.0076	0.0119	0.0043
Fmod	0.12283	-0.189150519705105	-1.20464972223676	0.0690730948843152	0.0465	0.792	Promoter	0.7459	0.7461	3e-04
Grap2	0.121443	0.0495510919651364	0.376838492857677	0.0650283314433898	0.0485	0.817	Promoter	0.7004	0.6967	-0.0038
Klf6	0.114504	0.374633878593653	0.638374557143408	-0.0330727382878883	0.0425	0.765	Promoter	0.3072	0.3178	0.0106
Celsr1	0.114133	-0.139678647894808	-0.120331865428988	0.325654310065346	0.0061	0.98	Promoter	0.7453	0.7421	-0.0032
Gm6812	0.110169	-12.3773698645237	11.4355544277266	-0.669281911169348	-0.1124	1	Promoter	0.8639	0.8358	-0.0281
Zfat	0.10597	-0.358580983879477	-0.360937848154685	-0.183473583883383	-0.0294	0.891	Promoter	0.7489	0.7502	0.0013
Enthd1	0.104669	0.0789410825476873	-0.567530588886368	0.242859515251716	0.0094	0.967	Promoter	0.736	0.7321	-0.0039
Iqub	0.098033	-0.0263751836828347	-0.415792377684521	-0.120025417605371	0.0772	1	Intron (ENSMUST00000052277.4/214704, intron 8 of 12)	0.7868	0.793	0.0062
Lyplal1	0.095535	0.753053019086835	0.106942464747968	0.251099567463496	0.0258	0.886	Promoter	0.8231	0.8236	5e-04
Gm16223	0.089553	0.579837725552056	-0.385535114471139	-0.0389501967551589	-0.0518	0.818	Promoter	0.8067	0.8036	-0.003
Lsp1	0.088311	-0.397503803845395	-0.734096230805097	-0.0361118283212267	-0.0529	0.787	Promoter	0.7349	0.726	-0.0089
Ankrd7	0.083278	0.524991734425053	-0.564967474137988	0.29122999852134	0.0298	0.88	Distal Intergenic	0.8731	0.8669	-0.0061
Disc1	0.079228	0.175248638827946	-0.176022255354154	0.0630388232641103	-0.0499	0.846	Promoter	0.6823	0.681	-0.0013
Iyd	0.079209	0.42577201423018	0.342841693974331	0.145761917875791	0.0082	0.971	Distal Intergenic	0.6878	0.691	0.0032
4930469K13Rik	0.076053	-0.557607162447496	-0.220175382488008	0.376323775579027	-0.0835	0.682	Promoter	0.7515	0.7471	-0.0044
Gucy2d	0.071635	-0.573386428347106	-0.476091377112553	0.375747289829546	0.0266	0.917	Promoter	0.7279	0.7365	0.0086
Hrh4	0.071021	-0.57259392209116	-0.194636612876531	0.457813664176742	-4e-04	0.999	3' UTR	0.8203	0.8111	-0.0092
Adamts2	0.065088	-0.284514702212817	-0.171268852349535	-0.117046455835214	-0.0076	0.976	Promoter	0.727	0.7235	-0.0035
Cpxm2	0.064723	-0.297696688698356	-0.110366619615327	0.144159353266619	0.0192	0.938	Promoter	0.7754	0.7729	-0.0024
Skap2	0.064156	0.97138050902921	-1.00700822187638	-0.340415788878843	-0.1382	0.517	Promoter	0.7345	0.7367	0.0022
Prep	0.063675	-0.445148169547082	0.619812565310895	0.294877867733817	-0.0374	0.863	Promoter	0.7826	0.7812	-0.0013
Bmp2	0.062299	0.106544008139127	-0.107338841985509	0.104049297760925	-0.0706	0.743	Promoter	0.7861	0.7857	-4e-04
Osr1	0.061597	0.115787735518579	-0.446502148690623	0.537130250894843	-0.1013	0.615	Exon (ENSMUST00000217975.1/23967, exon 2 of 2)	0.17	0.1632	-0.0067
Fscb	0.057737	-0.360573851324846	-1.54213904172034	-0.0327520601120653	0.0029	0.993	Exon (ENSMUST00000059833.7/623046, exon 1 of 1)	0.8793	0.86	-0.0193
Fggy	0.054091	0.0824020493837531	-0.668066017430758	0.0780429701785989	-0.0289	0.898	Promoter	0.7856	0.7848	-8e-04
Sptlc3	0.052199	0.335873870756862	-0.77978216178331	0.0164643054770335	-0.0398	1	Intron (ENSMUST00000110083.7/228677, intron 2 of 11)	0.7567	0.7573	6e-04
Mgst2	0.049626	0.521323347253443	0.400173472312077	-0.135357109884041	-0.0539	0.801	Promoter	0.7632	0.7636	4e-04
Ptpro	0.049146	0.213381820683741	-0.390567914191268	0.132699177359438	-0.0215	0.913	Promoter	0.7611	0.7585	-0.0026
Ces2b	0.048764	-1.11279377217642	-1.08525588238901	0.0114466718294174	-0.0405	0.845	3' UTR	0.7891	0.8012	0.0121
Rsl24d1	0.047338	-0.0019918508958338	0.17316040104374	0.0852235516337783	-0.1177	0.59	Promoter	0.6637	0.6789	0.0152
Spata19	0.046854	-0.137316950034782	-0.279717004027813	0.0220628611702216	0.0112	0.968	Promoter	0.8075	0.799	-0.0086
Kcnip1	0.04473	-0.77752017272047	0.180294009213201	0.271346581005447	0.0263	0.893	Promoter	0.7217	0.7227	0.001
Tacc1	0.041458	-0.154302505905741	0.389956199170565	-0.00151426457827888	-0.036	0.873	Promoter	0.7114	0.7127	0.0013
Tbcel	0.04087	-0.271010484296879	0.485246658213994	0.371720571336718	-0.499	0.131	Promoter	0.7	0.6999	-1e-04
Eif4e3	0.03709	-0.580730760250536	0.336590903507042	0.0102404326309433	-0.0451	0.822	Promoter	0.609	0.6071	-0.0019
Adamtsl1	0.036644	0.743693731555621	-0.591356641310723	-0.125671050271033	-0.0412	0.848	Promoter	0.7811	0.7824	0.0013
Ttn	0.035722	0.3380821582813	-0.782951643248929	-0.0906806375967591	0.2479	1	Promoter	0.8659	0.8669	9e-04
E030018B13Rik	0.034335	0.632466491251412	-0.0699701375112425	-0.146849533822226	0.0325	0.884	Intron (ENSMUST00000177638.1/381994, intron 1 of 2)	0.2093	0.2344	0.0251
Hrh2	0.031394	-0.0688762945133158	-0.105878762413863	-0.0272836060818258	-0.0089	0.972	Promoter	0.6938	0.7008	0.007
L1td1	0.031166	0.37541811677269	-0.235836385507648	0.743450623739938	-0.0043	0.982	Promoter	0.7816	0.774	-0.0077
Fam216b	0.028846	0.198232994110937	-0.500825732910501	-0.019220168420924	-0.0317	0.878	Intron (ENSMUST00000174283.1/ENSMUST00000174283.1, intron 1 of 1)	0.8091	0.7945	-0.0146
Rspo3	0.028635	-0.1816766407605	0.735097280537839	0.53850362516481	-0.0522	0.816	Promoter	0.7509	0.7449	-0.006
Ostf1	0.027193	0.830569913744123	-0.900767321438801	0.015089159306721	-0.0131	0.943	Promoter	0.7642	0.764	-2e-04
Acsbg1	0.02488	0.260968423535357	-0.436391744743659	-0.140339760595097	-0.0249	0.921	Promoter	0.7545	0.7491	-0.0054
N4bp1	0.017023	-0.21867047408583	0.969760207979224	0.0661598464012009	-0.0761	0.76	Promoter	0.5505	0.5572	0.0067
Sdk1	0.016187	0.00727825232998664	-0.446195495863302	0.0462956169591083	-0.0205	0.937	Promoter	0.7776	0.779	0.0013
B3gat1	0.015627	-0.774168682280662	-0.171650041299922	0.308642284442215	-0.012	0.96	Promoter	0.7319	0.7219	-0.01
Rab27b	0.014256	-0.23579071707698	-0.663947478383508	0.360852263715872	0.0398	0.829	Promoter	0.8036	0.8004	-0.0032
Mrc1	0.011861	0.00112602086887559	-0.795973568451362	0.0411980700930676	-0.0135	0.964	Promoter	0.8072	0.8108	0.0035
Strap	0.011533	-0.109163989028868	0.483792720733544	0.150298427102023	-0.0334	0.866	Promoter	0.7086	0.7156	0.007
Dmrt2	0.010906	0.0653005759023427	-0.234620964696492	1.23024019073463	0.0848	0.673	Promoter	0.3338	0.3365	0.0027
Zfp827	0.000217	-0.129238457835248	0.67352611793286	0.169567497109012	0.0223	1	Promoter	0.6672	0.6684	0.0012
Tmem132b	-0.005887	-0.991023584258651	-0.277478334087301	0.554101578107445	-0.1107	0.616	Promoter	0.7481	0.7448	-0.0033
Gucy1a1	-0.006213	0.3043826071242	-0.222809500143322	0.0366665301333624	-0.0207	0.914	Promoter	0.8016	0.7994	-0.0023
Ptprh	-0.0066	-0.278396699097416	-0.729040448879289	0.408408326508167	-0.03	0.9	Promoter	0.7669	0.7665	-4e-04
Ncam1	-0.008224	-0.260196422095224	0.200727733713425	0.0660087905667479	0.0363	0.876	Promoter	0.5021	0.5044	0.0023
Scn11a	-0.014542	-0.30853190730579	-0.374289221068029	0.120693093569414	-0.0261	0.919	Promoter	0.7881	0.7848	-0.0033
Abca13	-0.017729	-0.348584325354449	-0.470227558756475	-0.00214519080999054	0.0564	0.812	Intron (ENSMUST00000141233.1/268379, intron 1 of 2)	0.7955	0.7944	-0.0011
Gadd45g	-0.019524	0.682016679777804	0.878770763028747	0.145887715162188	0.0043	0.986	Promoter	0.0387	0.0266	-0.0121
Rspo2	-0.021499	0.306869206006414	-0.997550589108518	0.315089861938167	-0.0663	0.731	Promoter	0.7728	0.7698	-0.003
Dsc3	-0.023942	0.424408963471375	-1.04926399585339	-0.0297506425140553	-0.0385	0.866	Promoter	0.8068	0.8053	-0.0015
En2	-0.028327	1.52287600690848	0.689992745914505	-0.0529128186525866	-0.0038	0.986	Promoter	0.0155	0.0129	-0.0026
Ndrg1	-0.031768	0.0718079469952863	-0.200823804355135	-0.00293499740701792	-0.097	0.645	Promoter	0.6896	0.6806	-0.009
Fmr1	-0.03208	-2.94286091976138	-0.139735702472184	0.0783532245898952	-0.1201	1	Promoter	0.6691	0.6811	0.012
Rab38	-0.034176	0.0750065767684166	-1.04548942686999	0.619218570754995	3e-04	1	Promoter	0.8017	0.7998	-0.0019
Kcnv1	-0.043616	-0.129046415009537	-1.56528530021415	-0.100451532068549	-0.0125	0.959	Promoter	0.7925	0.7985	0.006
Ptpn20	-0.051157	0.481030029772067	-0.497093744236176	-0.055389946415124	-0.0493	0.8	Promoter	0.794	0.7916	-0.0024
Prim2	-0.051254	-0.165929595891215	0.0270156685861165	0.161003611904437	-0.0875	0.706	Promoter	0.8046	0.8017	-0.0029
Tcim	-0.055788	-0.035378645315111	-0.0574067882815646	0.372308459983058	-0.0289	0.889	Promoter	0.2818	0.2958	0.0139
Fsip2	-0.056857	0.379344471134154	-1.19862295897864	-0.454913854661728	-0.0014	0.997	Promoter	0.8657	0.8641	-0.0015
Slc10a2	-0.060492	0.233537486422534	-1.25821928319595	-0.702049122136137	-0.0852	0.698	Exon (ENSMUST00000208601.1/ENSMUST00000208601.1, exon 1 of 1)	0.7464	0.7613	0.0149
Gm7361	-0.061034	-0.300642481247121	-0.39843628110549	-0.21901825716139	0.0318	1	Exon (ENSMUST00000074148.6/664837, exon 2 of 5)	0.8188	0.8283	0.0096
Tmprss5	-0.066666	-0.271068333536179	-0.106855249127996	0.167390215186578	-0.2672	0.346	Promoter	0.7724	0.7669	-0.0055
Dmd	-0.069257	-2.61371125228115	-1.0058847508298	-0.0303408331756962	-0.0898	0.676	Promoter	0.7694	0.7733	0.0038
1700009N14Rik	-0.070692	-0.114117322251557	0	-0.467663905525946	0.0241	0.925	Promoter	0.904	0.9106	0.0066
Terf2ip	-0.071707	-0.613479978016156	0.118209911275446	-0.0247147216753186	-0.0206	0.924	Promoter	0.6837	0.7002	0.0165
Slc24a5	-0.072489	0.153606905176396	0.350554677796371	-0.265679653937234	-0.0012	0.996	Promoter	0.7668	0.7737	0.0069
Rgs9	-0.075205	0.624770793273019	0.240768068616782	-0.0765956868765249	-0.0553	0.762	Promoter	0.7412	0.7397	-0.0015
1700010I14Rik	-0.075282	-0.344195756221332	-0.271374710538732	0.240392275575813	-0.0109	0.966	Intron (ENSMUST00000024650.11/66931, intron 1 of 9)	0.7729	0.7683	-0.0046
Cdh11	-0.077842	0.101727827571635	-0.0800731168002191	0.177309865277498	0.0076	0.976	Promoter	0.7442	0.7429	-0.0012
Efcab5	-0.08031	-0.314558620210443	-0.239799331546386	0.355467267953971	-0.0183	0.942	Promoter	0.7955	0.7946	-0.001
Rfpl4b	-0.083278	-12.2921858426185	-11.3125272087829	0.802696665136236	0.0078	0.982	Promoter	0.6235	0.6311	0.0077
Mroh5	-0.086642	-0.926840048219001	-0.313424086855873	0.548041351476135	-0.0183	0.934	Promoter	0.745	0.7446	-5e-04
Mboat1	-0.087301	-0.241842206552702	-0.388083890452555	0.179463853362824	0.0656	0.754	Promoter	0.7956	0.7975	0.0019
5530401A14Rik	-0.088187	-0.634730177207934	-0.0548385737607375	0.335142411090811	-0.0165	0.945	Promoter	0.7857	0.785	-7e-04
Eno1b	-0.091494	0	0.417923035704313	0.0225646487125311	-1.1424	0.0292	5' UTR	0.9129	0.925	0.0121
Ano5	-0.091829	-0.0286293574911889	-0.00942950440056107	0.1397841872345	0.0315	0.89	Intron (ENSMUST00000043944.5/233246, intron 1 of 21)	0.8239	0.8201	-0.0038
Ptprz1	-0.092385	-0.202453321513792	-0.108719504249873	-0.024483516875073	-0.0229	1	Promoter	0.7705	0.7675	-0.003
Pros1	-0.102547	0.744491579460207	-0.378291401947341	-0.0297966280438434	-0.0418	0.834	Promoter	0.8206	0.8157	-0.0049
Ppp1r26	-0.104657	-1.88395937281397	0.360475218398804	-0.120406764054971	-0.0115	0.971	Promoter	0.695	0.6859	-0.0091
Enpp7	-0.110565	-1.66240123315636	-0.347812740258238	-0.433197833255115	-0.0947	0.588	Exon (ENSMUST00000092373.12/238011, exon 3 of 6)	0.8152	0.8319	0.0167
Cd300lg	-0.111837	-0.56827332947219	1.37548216015001	0.785679953334231	1.9051	1.65e-08	Distal Intergenic	0.7103	0.7148	0.0045
Gbe1	-0.11346	0.15707994707932	-0.497384635382783	0.0197651373888306	-9e-04	0.997	Promoter	0.8393	0.84	7e-04
Arg1	-0.114658	-0.916591400306992	0.54706580341534	-0.0301380460644895	-0.0297	0.895	Intron (ENSMUST00000020161.9/11846, intron 3 of 7)	0.7754	0.786	0.0107
Ptchd1	-0.119505	-1.94979434054904	0.28198308448024	0.0392101800629737	-0.0467	0.819	Promoter	0.4682	0.4604	-0.0078
D1Pas1	-0.124264	-0.584331654018999	-1.6492084940508	-0.295206710962955	-0.0237	0.912	Promoter	0.9386	0.9374	-0.0012
Cngb3	-0.127463	0.408998090698145	-0.63575927315852	0.0979974522131672	0.0318	1	Intron (ENSMUST00000102999.1/30952, intron 3 of 17)	0.8025	0.8015	-0.001
Rasa3	-0.132231	0.487720065389436	0.797934526381972	0.0629601335957937	0.0148	0.931	Promoter	0.4846	0.4892	0.0046
Btg1	-0.13796	2.04798647494124	0.282563555400947	-0.0357336758908527	-0.0022	0.992	Promoter	0.0122	0.0143	0.0021
Ids	-0.138613	-2.93371139601198	0.117472428626308	-0.00429234573751205	-0.2207	1	Distal Intergenic	0.6977	0.7053	0.0076
Gm4894	-0.146546	-0.732489780631753	-0.126260560732975	0.115962025613246	-0.0277	0.915	Intron (ENSMUST00000216428.1/235327, intron 1 of 3)	0.7712	0.7677	-0.0035
Cdh26	-0.158375	-0.745815079769955	-0.155136807694794	0.35520048769012	-0.1543	0.506	Distal Intergenic	0.7166	0.7133	-0.0033
Chd7	-0.160308	0.518769731161564	0.485778233681727	-0.0182885147052741	-0.0132	0.955	Promoter	0.2376	0.2367	-9e-04
Sh3tc2	-0.160882	-0.172899537146706	-1.01674479601021	-0.268070217944214	-0.1194	0.575	Promoter	0.783	0.7821	-9e-04
Rps6ka2	-0.162024	-0.763943998399361	0.218692935134921	-0.0347872497222407	-0.0273	0.903	Promoter	0.6889	0.689	1e-04
Fam114a2	-0.167103	-0.419567096029469	0.396662756429618	0.111836370069377	-0.2331	0.35	Promoter	0.7711	0.7741	0.0031
Slc26a7	-0.175956	-0.164130695959238	-0.315572760557887	0.0525828366862843	-0.1361	1	Intron (ENSMUST00000042221.13/208890, intron 2 of 18)	0.751	0.7467	-0.0043
Fam241b	-0.177899	0.0366714909797402	-0.45760603289572	-0.0635881811661978	-0.0331	0.883	Promoter	0.494	0.4947	7e-04
Prkg2	-0.189986	-0.370648064672855	-0.496202156959389	-0.118759695240333	-0.0327	1	Promoter	0.7671	0.7671	0
Ism2	-0.19075	-1.1350659854109	-0.947160604103241	0.359568584897216	0.8377	0.0347	Promoter	0.7711	0.7628	-0.0083
Kcnh7	-0.192362	0.927684834524393	-0.927633269285747	0.0617681031804501	-0.1251	0.589	Promoter	0.8188	0.8191	3e-04
Eno1	-0.197857	-0.85844986704652	0.484407788412549	0.200085183085184	-0.0032	0.988	Promoter	0.4498	0.4604	0.0105
Cd33	-0.199565	-0.425136530530021	0.91571568556846	0.0557343943827324	-0.0065	0.979	Promoter	0.7561	0.7516	-0.0045
Stmnd1	-0.207527	-0.650549082547668	-0.279624358754943	-0.690555466037947	-0.0654	1	Promoter	0.8374	0.8368	-6e-04
Ncor2	-0.211161	0.271117133787793	0.644209175643994	0.11091894886443	-0.0488	0.753	Promoter	0.4696	0.4737	0.0041
Cd109	-0.218259	-0.163472596318573	-0.212264705945048	0.17886462111932	-0.0746	0.729	Promoter	0.8017	0.7996	-0.0021
Mc2r	-0.218444	-0.454073777617074	-2.21187256351283	-0.371920827978341	0.0101	0.972	Exon (ENSMUST00000052347.7/17200, exon 3 of 3)	0.8437	0.8419	-0.0018
Cdh6	-0.219435	0.419986664966692	-0.361990401711677	0.0672642630790856	-0.045	0.809	Promoter	0.7881	0.7867	-0.0014
Fmo9	-0.234434	-1.1834514414054	-0.473796133751952	-0.299388820354344	0.0685	0.777	Intron (ENSMUST00000027843.10/240894, intron 3 of 9)	0.8531	0.8567	0.0036
F13a1	-0.249104	-0.151009026115413	-0.784768868200416	-0.0390936707539908	-0.0097	0.971	Promoter	0.801	0.8003	-7e-04
Slc22a22	-0.249938	0.108830335779585	-0.807220826369659	0.220851212230135	0.056	1	Intron (ENSMUST00000110196.7/210463, intron 2 of 11)	0.821	0.8212	2e-04
Otol1	-0.252827	-0.488992737796039	-1.0617292262899	-0.0637002637694593	-0.0416	1	Intron (ENSMUST00000053013.5/229389, intron 1 of 4)	0.8374	0.8362	-0.0013
Adam34	-0.254445	-0.335196242698561	-1.15347253429054	0.167242987474851	0.0659	1	Promoter	0.8538	0.8534	-4e-04
Mctp2	-0.260095	-0.220052588798345	-0.953487610628056	-0.021202337449756	-0.0106	0.968	Promoter	0.7825	0.7809	-0.0016
Oxgr1	-0.270985	-0.535658444231467	-0.598060561048607	0.0300585936801556	0.0323	0.88	Promoter	0.8706	0.8736	0.003
Gm4791	-0.272805	-1.42619787575899	-0.0106919999234107	0.83916924223493	-0.0747	0.757	Promoter	0.8245	0.8126	-0.0119
Spaca3	-0.284851	0.0626480476675521	-3.77204645485864	-0.42849184539541	-0.0128	0.96	Intron (ENSMUST00000103223.7/75622, intron 1 of 5)	0.83	0.826	-0.0039
Tacr1	-0.287999	-0.319386668494398	-0.774627163875856	-0.00474886610887395	-0.093	0.64	Promoter	0.7723	0.768	-0.0043
Dsg1c	-0.292842	-0.368797618645391	-0.769815369518983	-0.600523817890222	0.0025	0.994	Distal Intergenic	0.8538	0.8445	-0.0092
Adam28	-0.300935	-0.723027808765056	-0.318838829088445	-0.420412325835456	-0.0596	1	Distal Intergenic	0.8256	0.8233	-0.0024
Neurod2	-0.309422	0.464581735141842	0.564443773552386	0.100752221986587	-0.8461	0.0365	Promoter	0.033	0.0303	-0.0026
Samd7	-0.310295	-0.00166076441456028	-0.64679632643416	0.110132392248219	-0.0638	0.782	Intron (ENSMUST00000174395.7/75953, intron 1 of 6)	0.8001	0.8008	7e-04
Frk	-0.326771	0.337452096915353	-0.335483858459365	0.0630689278438325	-0.0022	1	Intron (ENSMUST00000019913.14/14302, intron 2 of 8)	0.8169	0.8135	-0.0034
Psapl1	-0.335467	-0.52294874752901	-0.727954482548177	0.265518698504158	0.0463	0.826	Promoter	0.4788	0.4743	-0.0045
Cyp2j5	-0.337583	-0.011433481851441	-1.33570445822025	-0.317826571857592	0.0043	0.987	Distal Intergenic	0.8225	0.8173	-0.0052
Rassf10	-0.338852	-0.186853135669376	-0.396303150277224	0.305655737712661	-0.05	0.788	3' UTR	0.7033	0.6675	-0.0358
Otor	-0.353055	0.451143558366034	-0.92054708447958	-0.969209440376921	0.0476	1	Distal Intergenic	0.7444	0.7475	0.0031
H2al1n	-0.367469	13.5003153353788	5.80384214574987	-11.8409018697073	0.0337	1	Distal Intergenic	0.8582	0.8606	0.0024
Agtr1b	-0.385233	-0.736552684739776	-1.32302363867277	-0.402520026004112	0.0075	0.98	Promoter	0.8139	0.8123	-0.0016
8030474K03Rik	-0.391571	-2.01359703825747	-1.26775688438759	0.303354303765256	-0.177	0.459	Promoter	0.8492	0.8504	0.0011
1700129C05Rik	-0.416983	-0.72359663183297	0.349674352697922	1.15868489409618	0.0346	0.882	Promoter	0.8451	0.8453	2e-04
Adam30	-0.434122	-0.466765290565232	-3.08621043655966	-0.81333393028237	-0.0494	0.829	Promoter	0.8564	0.8557	-7e-04
Prr30	-0.472214	1.26629820207206	1.83219167915423	-0.333545491006252	-0.0689	0.779	Promoter	0.8957	0.8977	0.002
Kcna5	-0.473149	0.0220732937006226	-1.25987223596287	0.605902501933961	-0.0405	0.868	Promoter	0.5478	0.5401	-0.0077
Col11a2	-0.47745	-1.60912494452059	0.255745351147457	0.584063867549277	-0.1439	0.552	Promoter	0.7972	0.7961	-0.0011
Rbfox3	-0.479836	-0.159574919135872	0.628969189837442	-0.0765140547112309	-0.0274	0.918	Promoter	0.2316	0.2304	-0.0011
Tfap2d	-0.522739	0.228597508546649	-0.7216750779836	-0.0343702696643274	-0.1411	1	Intron (ENSMUST00000037294.7/226896, intron 3 of 7)	0.5802	0.5801	-1e-04
Abra	-0.523106	1.49535835372672	0.358741820063651	0.157554745208227	0.001	0.997	Promoter	0.7526	0.7691	0.0166
Cypt12	-0.593353	-7.13021956805513	0	-1.09699656472153	1.7811	3.2e-05	Distal Intergenic	0.9022	0.9083	0.0061
