18	9	E	-2948412.647884612	82
probinit	1	1.6403082436183326E-286
probinit	2	0.0
probinit	3	1.1035457179736831E-266
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	1.0
probinit	8	3.268329268644961E-185
probinit	9	2.1187456546721414E-214
probinit	10	8.538543962637157E-237
probinit	11	6.848094221338022E-202
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	1.4201333097218539E-202
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
emissionprobs	14	2	H2AK119ub	1	7.47544372943712E-108
emissionprobs	14	3	H3K27ac	0	1.0
emissionprobs	14	3	H3K27ac	1	4.8248440607099026E-114
emissionprobs	14	4	H3K27me3	0	0.9819819475212234
emissionprobs	14	4	H3K27me3	1	0.018018052478776664
emissionprobs	14	5	H3K4me1	0	1.4194132701955208E-43
emissionprobs	14	5	H3K4me1	1	1.0
emissionprobs	14	6	H3K4me3	0	0.8618176379376205
emissionprobs	14	6	H3K4me3	1	0.13818236206237952
emissionprobs	14	7	H3K9ac	0	0.005543892490645055
emissionprobs	14	7	H3K9ac	1	0.994456107509355
emissionprobs	14	8	H3K9me3	0	0.9824755260994601
emissionprobs	14	8	H3K9me3	1	0.017524473900539916
emissionprobs	15	0	ATAC	0	0.8335847175752845
emissionprobs	15	0	ATAC	1	0.1664152824247155
emissionprobs	15	1	CTCF	0	0.9710099895701224
emissionprobs	15	1	CTCF	1	0.02899001042987758
emissionprobs	15	2	H2AK119ub	0	1.0
emissionprobs	15	2	H2AK119ub	1	1.1227698982797623E-41
emissionprobs	15	3	H3K27ac	0	1.0
emissionprobs	15	3	H3K27ac	1	4.458515215939324E-80
emissionprobs	15	4	H3K27me3	0	0.9797862873277529
emissionprobs	15	4	H3K27me3	1	0.020213712672247173
emissionprobs	15	5	H3K4me1	0	1.0
emissionprobs	15	5	H3K4me1	1	1.915691359107783E-41
emissionprobs	15	6	H3K4me3	0	0.7909120583746259
emissionprobs	15	6	H3K4me3	1	0.20908794162537414
emissionprobs	15	7	H3K9ac	0	0.053967647425472845
emissionprobs	15	7	H3K9ac	1	0.9460323525745272
emissionprobs	15	8	H3K9me3	0	0.9822278416607958
emissionprobs	15	8	H3K9me3	1	0.0177721583392043
emissionprobs	16	0	ATAC	0	0.6849282524096018
emissionprobs	16	0	ATAC	1	0.3150717475903983
emissionprobs	16	1	CTCF	0	0.9626171580104533
emissionprobs	16	1	CTCF	1	0.03738284198954664
emissionprobs	16	2	H2AK119ub	0	1.0
emissionprobs	16	2	H2AK119ub	1	1.9718368934436009E-56
emissionprobs	16	3	H3K27ac	0	2.0375735980716385E-22
emissionprobs	16	3	H3K27ac	1	1.0
emissionprobs	16	4	H3K27me3	0	0.9941035273529356
emissionprobs	16	4	H3K27me3	1	0.005896472647064372
emissionprobs	16	5	H3K4me1	0	1.0
emissionprobs	16	5	H3K4me1	1	1.5355574918841082E-40
emissionprobs	16	6	H3K4me3	0	0.33665100199553216
emissionprobs	16	6	H3K4me3	1	0.6633489980044679
emissionprobs	16	7	H3K9ac	0	0.006582913462575257
emissionprobs	16	7	H3K9ac	1	0.9934170865374248
emissionprobs	16	8	H3K9me3	0	0.9759809343449557
emissionprobs	16	8	H3K9me3	1	0.02401906565504428
emissionprobs	17	0	ATAC	0	0.6919609971432443
emissionprobs	17	0	ATAC	1	0.3080390028567557
emissionprobs	17	1	CTCF	0	0.9565681126435402
emissionprobs	17	1	CTCF	1	0.04343188735645973
emissionprobs	17	2	H2AK119ub	0	2.754045791319398E-4
emissionprobs	17	2	H2AK119ub	1	0.999724595420868
emissionprobs	17	3	H3K27ac	0	6.625874745915467E-5
emissionprobs	17	3	H3K27ac	1	0.9999337412525409
emissionprobs	17	4	H3K27me3	0	0.9561095526661313
emissionprobs	17	4	H3K27me3	1	0.043890447333868654
emissionprobs	17	5	H3K4me1	0	0.36421898289357857
emissionprobs	17	5	H3K4me1	1	0.6357810171064213
emissionprobs	17	6	H3K4me3	0	0.5436105769605276
emissionprobs	17	6	H3K4me3	1	0.45638942303947233
emissionprobs	17	7	H3K9ac	0	0.00966174033574207
emissionprobs	17	7	H3K9ac	1	0.9903382596642579
emissionprobs	17	8	H3K9me3	0	0.9742472579184138
emissionprobs	17	8	H3K9me3	1	0.025752742081586063
emissionprobs	18	0	ATAC	0	0.8172550275670176
emissionprobs	18	0	ATAC	1	0.18274497243298235
emissionprobs	18	1	CTCF	0	0.9594048154058615
emissionprobs	18	1	CTCF	1	0.04059518459413851
emissionprobs	18	2	H2AK119ub	0	0.003578931321669584
emissionprobs	18	2	H2AK119ub	1	0.9964210686783305
emissionprobs	18	3	H3K27ac	0	1.0
emissionprobs	18	3	H3K27ac	1	3.7382354993329446E-120
emissionprobs	18	4	H3K27me3	0	0.6196728500035961
emissionprobs	18	4	H3K27me3	1	0.380327149996404
emissionprobs	18	5	H3K4me1	0	0.35028561792548746
emissionprobs	18	5	H3K4me1	1	0.6497143820745126
emissionprobs	18	6	H3K4me3	0	0.8959191697098896
emissionprobs	18	6	H3K4me3	1	0.1040808302901104
emissionprobs	18	7	H3K9ac	0	1.6848068906973238E-4
emissionprobs	18	7	H3K9ac	1	0.9998315193109303
emissionprobs	18	8	H3K9me3	0	0.9770207072430375
emissionprobs	18	8	H3K9me3	1	0.0229792927569626
