TargetGene	max_delta_abc	log2FC	padj	n_enhancers	top_enh_distance	concordance	n_gained	n_lost	sum_delta_abc	sum_abc_wt	sum_abc_ko	n_enh_positive_dabc	n_enh_negative_dabc	frac_agree_max	strongest_enh_class
Dbn1	0.010229	0.645421	5e-06	9	25440	Concordant	1	0	0.024492	0.419245	0.443737	7	2	0.777777777777778	NA
Dcaf4	-0.023066	-0.692556	2e-06	7	410254	Concordant	1	1	-0.01037	0.266282	0.255912	3	4	0.571428571428571	Activity_Lost
Dcc	0.055796	-0.632408	0.000417	10	1221364	Discordant	4	5	-0.033695	0.534497	0.500802	4	6	0.4	NA
Des	0.044226	-1.393165	0	13	10027	Discordant	2	4	-0.012642	0.65868	0.646038	6	7	0.461538461538462	Stable
Dgka	0.026176	-1.294484	0	10	3578	Discordant	2	3	0.029594	0.551535	0.581129	7	3	0.7	NA
Dgkb	0.098849	-0.652493	0.000174	15	3546	Discordant	15	0	0.594094	0	0.594094	15	0	1	Stable
Dhrs11	-0.056095	-0.598362	0	8	2671	Concordant	1	1	-0.021728	0.386009	0.364281	6	2	0.25	Activity_Lost
Diaph2	-0.043525	-0.893135	0	4	336119.5	Concordant	0	2	-0.068101	0.164858	0.096757	0	4	1	Activity_Lost
Dlg2	0.013595	-0.93565	0	4	2397838	Discordant	1	0	0.018717	0.151797	0.170514	3	1	0.75	NA
Dlgap2	0.049963	2.235078	0	4	2677	Concordant	1	2	-0.016654	0.510999	0.494345	1	3	0.25	NA
Dlk2	-0.022915	1.392213	0.01524	11	136449.5	Discordant	1	3	-0.012418	0.468366	0.455948	8	3	0.272727272727273	NA
Dnah1	0.019991	0.787941	0.00438	14	338163	Concordant	1	0	0.018495	0.524308	0.542803	6	8	0.428571428571429	Stable
Dnah11	-0.025619	-1.331717	0	7	86325	Concordant	2	4	-0.048154	0.684432	0.636278	2	5	0.714285714285714	Activity_Lost
Dnajc12	0.017935	-1.320068	0	6	358120	Discordant	2	1	0.016114	0.287787	0.303901	3	3	0.5	NA
Dnase2a	-0.012554	-0.585063	0.044332	7	5320	Concordant	0	1	-0.013718	0.450906	0.437188	3	4	0.571428571428571	Activity_Lost
Doc2b	-0.050513	-1.054316	0	9	74327.5	Concordant	2	4	-0.112874	0.367295	0.254421	3	6	0.666666666666667	Activity_Lost
Dock11	0.050745	1.336757	0	11	1196510.5	Concordant	3	4	0.006352	0.339709	0.346061	5	6	0.454545454545455	NA
Dok6	0.030041	0.691994	0.000268	6	4817848	Concordant	2	2	0.012826	0.223182	0.236008	2	4	0.333333333333333	NA
Dok7	0.019586	0.970717	0	7	81641	Concordant	2	2	0.014845	0.312084	0.326929	4	3	0.571428571428571	Stable
Dpf1	-0.014657	-0.660764	2e-05	12	5440	Concordant	0	2	-0.025845	0.418359	0.392514	6	6	0.5	Activity_Lost
Dpysl3	0.031489	0.609009	0	10	44656	Concordant	5	1	0.082714	0.300354	0.383068	6	4	0.6	Activity_Gain
Dsc2	-0.034489	-1.807181	0	7	4405	Concordant	2	2	-0.026257	0.543164	0.516907	3	4	0.571428571428571	Activity_Lost
Dscam	0.015955	0.736538	0	5	4899	Concordant	2	1	0.017433	0.536327	0.55376	3	2	0.6	Activity_Gain
Dscaml1	-0.042302	-1.01986	0	8	3545	Concordant	1	2	-0.045068	0.456051	0.410983	2	6	0.75	Activity_Lost
Dse	-0.036591	0.623027	0.019424	8	74479.5	Discordant	1	4	-0.073464	0.512438	0.438974	2	6	0.75	NA
Dsg2	-0.030593	-1.850848	0.002132	10	8692	Concordant	0	2	-0.080081	0.681045	0.600964	3	7	0.7	Activity_Lost
Dync2li1	0.027237	-0.627788	0.005654	8	330963	Discordant	1	2	0.007978	0.248083	0.256061	4	4	0.5	NA
Dynlt1c	0.029229	-1.074428	0.005013	11	226222	Discordant	3	5	-0.019889	0.294777	0.274888	5	6	0.454545454545455	Stable
E030030I06Rik	-0.052752	2.220977	0.001705	13	1196855	Discordant	2	2	-0.005193	0.493764	0.488571	8	5	0.384615384615385	NA
E2f3	-0.041607	-1.064374	0	6	17313	Concordant	1	4	-0.096628	0.270745	0.174117	2	4	0.666666666666667	Activity_Lost
Ebf3	-0.034277	0.84326	0	8	1780511	Discordant	3	2	-0.007572	0.304408	0.296836	5	3	0.375	Stable
Echdc3	0.017174	-2.003619	0.001212	5	13586	Discordant	2	0	0.050383	0.32307	0.373453	5	0	1	K119ub_Only
Eepd1	-0.043845	-0.690805	0	6	23839	Concordant	2	2	-0.040783	0.312073	0.27129	3	3	0.5	Activity_Lost
Efcab12	0.036615	-0.943489	5e-06	6	15032.5	Discordant	2	0	0.045993	0.217933	0.263926	3	3	0.5	NA
Efhc2	0.09905	-0.698546	0.004868	12	843125	Discordant	5	5	0.07877	0.541958	0.620728	6	6	0.5	NA
Efna1	-0.072765	-1.807653	3.8e-05	9	1511	Concordant	2	1	-0.031125	0.537578	0.506453	4	5	0.555555555555556	Activity_Lost
Efnb1	0.016821	-0.613345	0.016051	7	334453	Discordant	1	0	0.019346	0.340483	0.359829	4	3	0.571428571428571	NA
Efr3b	-0.041731	-0.550511	0	10	31586	Concordant	2	3	-0.040596	0.511037	0.470441	6	4	0.4	Activity_Lost
Egr4	-0.079688	-1.411066	0.047673	10	2577	Concordant	4	3	-0.044488	0.685999	0.641511	6	4	0.4	Activity_Lost
Ell2	-0.023908	0.728715	0	11	133203.5	Discordant	3	4	-0.023017	0.445179	0.422162	5	6	0.545454545454545	NA
Elmo1	-0.025578	-0.523875	1e-05	3	694817	Concordant	0	1	-0.03519	0.093775	0.058585	0	3	1	NA
Emb	-0.383931	-0.567441	0	5	12363	Concordant	0	5	-0.763346	0.763346	0	0	5	1	K119ub_Only
Emx1	0.016607	2.302904	0	6	145917.5	Concordant	1	2	0.005271	0.230436	0.235707	4	2	0.666666666666667	NA
En1	-0.031263	-1.091318	0.001152	8	4833200	Concordant	3	2	-0.006474	0.310906	0.304432	5	3	0.375	NA
Entpd3	0.03953	2.076858	0	11	859056	Concordant	2	2	-0.00403	0.353042	0.349012	5	6	0.454545454545455	Stable
Eomes	0.032947	-1.241259	0.004625	11	437780	Discordant	2	4	-0.049278	0.673157	0.623879	4	7	0.363636363636364	NA
Epha3	0.05182	-2.3578	0	8	987648.5	Discordant	2	5	-0.030243	0.634315	0.604072	3	5	0.375	NA
Epha5	0.090464	2.508837	0	7	2068	Concordant	3	3	0.108854	0.411499	0.520353	4	3	0.571428571428571	NA
Epha7	0.03742	-0.700786	0.000288	3	2168	Discordant	1	2	0.005694	0.450656	0.45635	1	2	0.333333333333333	Stable
Epha8	-0.020018	-0.616854	4e-06	11	3286	Concordant	0	4	-0.077111	0.384138	0.307027	3	8	0.727272727272727	NA
Erbb4	0.04651	-0.951184	0.01542	5	1621	Discordant	2	1	0.048607	0.566843	0.61545	3	2	0.6	Stable
Ercc8	-0.099549	-0.596471	0	8	5484	Concordant	3	2	-0.089427	0.495949	0.406522	5	3	0.375	Activity_Lost
Esam	-0.058165	-0.733609	0.021435	8	7855	Concordant	2	3	-0.085124	0.70108	0.615956	5	3	0.375	Activity_Lost
Espnl	-0.019102	1.208981	0.034749	9	71800.5	Discordant	0	4	-0.053066	0.375267	0.322201	2	7	0.777777777777778	NA
Exoc3l	-0.081715	-1.347031	0	10	2587	Concordant	2	2	-0.039663	0.774817	0.735154	6	4	0.4	Activity_Lost
Ext1	-0.059738	-0.654142	0.000116	8	402398	Concordant	1	6	-0.112979	0.41381	0.300831	2	6	0.75	Activity_Lost
Eya2	-0.03313	-0.973309	0	12	1630222	Concordant	3	3	-0.021287	0.282568	0.261281	6	6	0.5	Stable
Fa2h	-0.050166	-0.70791	0	6	36349	Concordant	2	2	-0.036701	0.154592	0.117891	3	3	0.5	Activity_Lost
Fam107b	0.065161	-0.656205	0	11	20386	Discordant	2	4	-0.003303	0.690458	0.687155	3	8	0.272727272727273	Stable
Fam135a	-0.023001	-0.537613	0	13	10056	Concordant	4	5	-0.041986	0.47785	0.435864	5	8	0.615384615384615	Activity_Lost
Fam163b	0.027165	2.153002	0	7	33312	Concordant	2	2	-0.003184	0.259765	0.256581	4	3	0.571428571428571	Activity_Gain
Fam184b	-0.038692	-0.998827	0	9	11599.5	Concordant	2	2	-0.026967	0.398661	0.371694	5	4	0.444444444444444	Activity_Lost
Fam185a	-0.021527	-1.067533	0	7	1061945	Concordant	1	4	-0.051518	0.282136	0.230618	2	5	0.714285714285714	K119ub_Only
Fam217b	-0.028541	0.537989	0.014611	7	1610321.5	Discordant	0	2	-0.029843	0.244716	0.214873	3	4	0.571428571428571	NA
Fam78a	0.011302	0.654055	0.008905	6	10742	Concordant	1	0	0.037447	0.210998	0.248445	6	0	1	NA
Fam78b	-0.041118	-0.879838	0	8	65632	Concordant	1	4	-0.110079	0.487498	0.377419	2	6	0.75	Activity_Lost
Fam81b	-0.119025	-0.953187	0.000753	3	2849	Concordant	1	1	-0.095128	0.314279	0.219151	2	1	0.333333333333333	Activity_Lost
Fam83h	0.019178	-0.718965	7e-06	9	104784	Discordant	2	1	0.015567	0.297967	0.313534	5	4	0.555555555555556	NA
Fat3	0.067527	1.273253	0	4	904	Concordant	1	2	0.036098	0.344818	0.380916	2	2	0.5	Activity_Gain
Fbln7	-0.110504	0.618972	0.045486	9	1060	Discordant	0	9	-0.474004	0.474004	0	0	9	1	Activity_Gain
Fbxo16	0.017977	-0.936734	0	4	4151	Discordant	1	1	0.001591	0.321839	0.32343	1	3	0.25	NA
Fbxo17	-0.0219	-1.290112	7e-06	7	23376	Concordant	3	3	-0.00151	0.325378	0.323868	4	3	0.428571428571429	NA
Fcrlb	0.049393	-0.947335	0.02632	6	5134	Discordant	3	0	0.0727	0.474255	0.546955	3	3	0.5	Stable
Fez2	-0.045753	-0.757679	0	10	6393	Concordant	3	5	-0.086406	0.516343	0.429937	5	5	0.5	Activity_Lost
Fgf18	-0.024217	1.986828	0	12	56421.5	Discordant	3	4	-0.027974	0.601199	0.573225	5	7	0.583333333333333	NA
Fgf20	-0.102689	-0.939501	0.041891	5	6198	Concordant	1	1	-0.069116	0.50552	0.436404	2	3	0.6	Activity_Lost
Fhdc1	0.039049	0.956542	0	4	890	Concordant	1	2	0.003386	0.292135	0.295521	2	2	0.5	Activity_Gain
Fhod3	-0.015254	0.599237	3.5e-05	7	104796.5	Discordant	0	2	-0.026285	0.245296	0.219011	2	5	0.714285714285714	NA
Fkbp14	-0.021092	-1.007091	0	12	140315	Concordant	1	1	0.00638	0.650579	0.656959	7	5	0.416666666666667	Activity_Lost
Fkbp7	0.044174	-1.017014	0.004172	3	2135	Discordant	1	1	0.025131	0.3919	0.417031	2	1	0.666666666666667	NA
Fmn1	-0.033074	-0.533459	0.000957	4	4555	Concordant	1	2	-0.03523	0.206575	0.171345	1	3	0.75	Activity_Lost
Fmnl1	0.021258	-0.604979	2e-06	12	54861.5	Discordant	2	3	0.007174	0.557637	0.564811	6	6	0.5	Stable
Fntb	-0.020411	-0.737583	0	14	39574	Concordant	1	2	-0.004195	0.458883	0.454688	7	7	0.5	Stable
Focad	-0.022954	-0.942776	0	6	275297	Concordant	3	2	0.005581	0.283032	0.288613	3	3	0.5	K119ub_Only
Foxn2	-0.033221	-1.086926	0	14	40350	Concordant	2	7	-0.118619	0.685249	0.56663	6	8	0.571428571428571	Activity_Lost
Foxo1	0.020634	-0.602073	7e-06	10	881545	Discordant	1	2	-0.031511	0.296656	0.265145	2	8	0.2	NA
Foxred2	0.01856	-0.539689	0	7	14132.5	Discordant	2	2	0.004792	0.358402	0.363194	4	3	0.571428571428571	NA
Frat1	0.012863	-0.65416	0.002067	7	151490.5	Discordant	2	2	-0.004306	0.225343	0.221037	3	4	0.428571428571429	NA
Fstl4	0.038566	1.021347	0	6	1396	Concordant	3	2	0.033817	0.241722	0.275539	4	2	0.666666666666667	Activity_Gain
Ftcd	0.040049	3.612836	1e-06	9	8683	Concordant	2	2	0.036842	0.261502	0.298344	6	3	0.666666666666667	NA
Fut10	-0.028649	-1.454036	0	9	4469	Concordant	3	3	0.003499	0.625505	0.629004	4	5	0.555555555555556	Activity_Lost
Fxyd6	-0.052834	-1.800747	0	9	6351	Concordant	1	3	-0.099634	0.460232	0.360598	4	5	0.555555555555556	Activity_Lost
Fzd7	-0.017773	-1.445745	0	9	2632	Concordant	1	2	-0.045082	0.526423	0.481341	2	7	0.777777777777778	NA
Gab3	-0.040413	-0.731	4e-05	6	10429.5	Concordant	4	1	0.037808	0.417089	0.454897	5	1	0.166666666666667	NA
Gabra3	0.057654	1.296794	0	15	1164043.5	Concordant	8	7	0.058243	0.414266	0.472509	8	7	0.533333333333333	NA
Galnt15	-0.030689	-0.910899	0	6	3718	Concordant	2	2	-0.021736	0.273963	0.252227	3	3	0.5	Activity_Lost
Galnt17	0.040291	-0.500998	0.000165	5	883	Discordant	1	4	-0.017655	0.507213	0.489558	1	4	0.2	Stable
Galnt18	-0.033153	-0.53579	0.000253	4	657315.5	Concordant	0	3	-0.062156	0.258501	0.196345	0	4	1	NA
Galnt7	0.096971	-0.695548	0	14	967	Discordant	3	5	0.054606	0.683722	0.738328	5	9	0.357142857142857	Stable
Galntl6	-0.03207	-0.783186	0.005095	9	949967	Concordant	2	5	-0.053285	0.286866	0.233581	4	5	0.555555555555556	Activity_Lost
Gas7	-0.026239	-0.667753	0	13	212666	Concordant	3	7	-0.07314	0.64361	0.57047	4	9	0.692307692307692	NA
Gclm	-0.062071	-0.898507	0	6	39159	Concordant	2	4	-0.148522	0.453473	0.304951	2	4	0.666666666666667	Activity_Lost
Gdnf	0.047945	0.71357	0.039785	13	2342.5	Concordant	3	5	-0.033903	0.569201	0.535298	4	9	0.307692307692308	NA
Gemin8	-0.040239	-0.61607	0.002981	11	1815	Concordant	2	2	-0.043956	0.500097	0.456141	6	5	0.454545454545455	Activity_Lost
Gipc2	-0.054277	-1.042001	0	7	20862	Concordant	2	2	-0.034934	0.574749	0.539815	4	3	0.428571428571429	Activity_Lost
Glrx5	0.014201	-0.50857	0.009328	3	77298.5	Discordant	1	0	0.016318	0.062974	0.079292	2	1	0.666666666666667	Activity_Gain
Gm10684	0.017904	0.581828	0.024795	10	2892	Concordant	4	0	0.075952	0.564695	0.640647	8	2	0.8	NA
Gm11110	-0.012804	-0.786183	0	9	74232	Concordant	0	3	-0.035524	0.614748	0.579224	4	5	0.555555555555556	NA
Gm11190	0.035999	1.792869	0	17	5017	Concordant	2	2	0.030708	0.67576	0.706468	8	9	0.470588235294118	Activity_Gain
Gm11210	0.05126	-1.480186	2.8e-05	15	6369	Discordant	2	5	-0.037915	0.672731	0.634816	4	11	0.266666666666667	NA
Gm12059	-0.012579	-1.125926	0.039785	8	85761	Concordant	0	1	-0.021646	0.318154	0.296508	3	5	0.625	NA
Gm12116	0.053114	-1.508235	0	9	40851.5	Discordant	4	5	-0.042399	0.393339	0.35094	4	5	0.444444444444444	NA
Gm12339	-0.034162	-1.85493	0	10	75609.5	Concordant	1	5	-0.090261	0.43091	0.340649	5	5	0.5	Activity_Lost
Gm12536	-0.063323	-1.814555	0.00016	8	4924	Concordant	3	1	-0.024806	0.47583	0.451024	5	3	0.375	Activity_Lost
Gm13052	0.043844	-0.712527	1.6e-05	12	4928	Discordant	2	4	0.01778	0.511967	0.529747	4	8	0.333333333333333	NA
Gm14061	-0.036414	-1.402463	4e-06	13	203713	Concordant	4	4	0.006447	0.684939	0.691386	4	9	0.692307692307692	Activity_Lost
Gm15663	-0.107966	-1.066948	1e-06	4	4486	Concordant	1	2	-0.100847	0.4645	0.363653	1	3	0.75	Activity_Lost
Gm16701	-0.066067	-1.230396	0	8	198447	Concordant	2	3	-0.055171	0.671605	0.616434	3	5	0.625	Activity_Lost
Gm17188	-0.267785	1.055382	0.007377	12	1808722	Discordant	6	5	0.091628	0.664532	0.75616	6	6	0.5	NA
Gm17399	-0.046272	-1.163886	2e-06	8	78619	Concordant	2	4	-0.088404	0.536826	0.448422	3	5	0.625	Activity_Lost
Gm17540	-0.024721	-2.707437	0.0044	6	52447	Concordant	1	1	-0.009088	0.545155	0.536067	3	3	0.5	Activity_Lost
Gm17750	0.036951	-1.146531	0	18	333942	Discordant	6	7	-0.009322	0.897227	0.887905	7	11	0.388888888888889	Stable
Gm20033	0.030314	0.992069	0.018375	4	100926	Concordant	2	1	0.032646	0.075977	0.108623	3	1	0.75	Activity_Gain
Gm20732	-0.068917	-0.595304	0	7	75932	Concordant	1	4	-0.146516	0.483611	0.337095	1	6	0.857142857142857	Activity_Lost
Gm20743	-0.075231	-1.028924	0.003067	9	75164	Concordant	3	5	-0.056057	0.562819	0.506762	4	5	0.555555555555556	Activity_Lost
Gm21989	0.053179	1.130471	2e-06	14	427101.5	Concordant	4	4	0.028202	0.495866	0.524068	7	7	0.5	NA
Gm26652	-0.032021	-0.939705	0	7	74700	Concordant	2	2	0.003202	0.216706	0.219908	4	3	0.428571428571429	Activity_Lost
Gm26813	0.052005	-1.739568	3e-06	8	10290	Discordant	1	2	0.012725	0.623262	0.635987	3	5	0.375	NA
Gm26868	0.025968	0.942525	0.006892	14	14538	Concordant	5	2	0.059592	0.472983	0.532575	10	4	0.714285714285714	Activity_Gain
Gm26871	-0.03357	-1.112323	0.000716	13	2516797	Concordant	4	4	-0.003515	0.394052	0.390537	7	6	0.461538461538462	Activity_Lost
Gm26872	-0.036996	-1.813336	0.000124	16	1427	Concordant	5	5	-0.039671	0.565282	0.525611	7	9	0.5625	Activity_Lost
Gm27211	0.034147	-1.13501	0.046385	1	6407	Discordant	1	0	0.034147	0.407347	0.441494	1	0	1	Activity_Lost
Gm28050	-0.04226	-0.955881	0	14	103833.5	Concordant	2	7	-0.134254	0.511824	0.37757	2	12	0.857142857142857	NA
Gm28703	0.04949	-4.178071	0	23	1187835	Discordant	6	7	-0.016678	0.726797	0.710119	8	15	0.347826086956522	K119ub_Only
Gm28981	-0.071972	-0.516651	0.025147	12	2658	Concordant	5	4	-0.001697	0.733522	0.731825	6	6	0.5	Activity_Lost
Gm29478	-0.032197	-0.532499	0.017005	23	1596	Concordant	7	8	0.043489	0.827964	0.871453	13	10	0.434782608695652	Activity_Lost
Gm31409	-0.022327	-1.075936	0	19	834082	Concordant	5	1	0.06737	0.757608	0.824978	14	5	0.263157894736842	Activity_Lost
Gm31816	-0.018628	-0.807692	5.5e-05	8	17443	Concordant	2	3	-0.024554	0.366945	0.342391	3	5	0.625	NA
Gm3739	-0.114097	1.407725	0.000931	11	857999.5	Discordant	7	4	-0.04919	0.30823	0.25904	7	4	0.363636363636364	NA
Gm42397	-0.116561	-2.092326	0	4	3666	Concordant	2	2	-0.089887	0.559782	0.469895	2	2	0.5	Activity_Lost
Gm42669	-0.091795	-0.745941	0.00033	9	11429	Concordant	1	2	-0.062651	0.640886	0.578235	7	2	0.222222222222222	Activity_Lost
Gm43690	0.1742	0.812453	0.022295	8	22400.5	Concordant	8	0	0.669823	0	0.669823	8	0	1	Activity_Gain
Gm44421	0.013188	1.243161	0.004028	10	36706	Concordant	2	0	0.023697	0.332195	0.355892	7	3	0.7	Activity_Gain
Gm45159	-0.059764	-1.166758	0.000182	11	410735	Concordant	3	5	-0.070189	0.440062	0.369873	4	7	0.636363636363636	NA
Gm45846	-0.025817	0.691702	0.011748	5	380971	Discordant	2	2	-0.017924	0.172662	0.154738	3	2	0.4	Activity_Lost
Gm49342	-0.017569	-1.016891	0.007289	9	13693	Concordant	1	1	0.01293	0.48887	0.5018	6	3	0.333333333333333	NA
Gm5087	0.027333	-1.334427	0	7	462615	Discordant	2	3	-0.008313	0.36974	0.361427	3	4	0.428571428571429	Stable
Gm5141	-0.035043	0.762334	0.001327	12	1143777	Discordant	4	5	-0.042598	0.268032	0.225434	5	7	0.583333333333333	Stable
Gm5148	-0.034872	-0.550517	0.037017	6	135858	Concordant	3	1	0.031259	0.27188	0.303139	4	2	0.333333333333333	Activity_Lost
Gm5600	-0.033474	-2.78902	0.00738	7	319186	Concordant	1	2	-0.010794	0.525175	0.514381	5	2	0.285714285714286	Activity_Lost
Gm5860	0.035899	-1.702097	5.4e-05	12	441097.5	Discordant	4	4	-0.006713	0.348985	0.342272	5	7	0.416666666666667	Stable
Gm7160	0.020329	-0.871119	0.000125	8	1005	Discordant	2	3	-0.007796	0.449876	0.44208	3	5	0.375	NA
Gm8237	-0.057618	1.063813	0.008151	7	2333850.5	Discordant	2	5	-0.079997	0.443416	0.363419	2	5	0.714285714285714	NA
Gmip	-0.024716	0.84481	0.013434	8	58726.5	Discordant	2	1	-0.012236	0.481132	0.468896	4	4	0.5	NA
Gnai1	-0.10055	-0.501245	0	7	7723	Concordant	2	2	-0.075971	0.531303	0.455332	4	3	0.428571428571429	Activity_Lost
Gng4	0.07005	2.277959	0	12	1575	Concordant	4	5	-0.025497	0.550125	0.524628	7	5	0.583333333333333	NA
Golim4	-0.049875	-0.655683	3e-06	8	14223	Concordant	3	3	-0.04245	0.38293	0.34048	5	3	0.375	Activity_Lost
Gp5	0.066943	1.298664	0.049684	8	1936	Concordant	3	2	0.074837	0.323482	0.398319	4	4	0.5	Activity_Gain
Gpat3	-0.018122	0.516002	0.00681	6	2365385	Discordant	2	2	-0.013884	0.271832	0.257948	2	4	0.666666666666667	NA
Gpc3	-0.15101	1.013886	0.036042	22	298271	Discordant	12	7	0.073332	0.575196	0.648528	12	10	0.454545454545455	NA
Gpd2	-0.034199	-0.582794	0	7	18324	Concordant	2	3	-0.061736	0.373619	0.311883	2	5	0.714285714285714	Activity_Lost
Gpr137b	0.081095	0.644843	0.000379	10	828159	Concordant	4	5	-0.065257	0.388626	0.323369	5	5	0.5	NA
Gpr153	-0.016505	-0.510027	0.005114	12	29149	Concordant	0	2	-0.042158	0.600892	0.558734	4	8	0.666666666666667	Activity_Lost
Gpr165	-0.099132	1.105507	0.014226	8	1054957.5	Discordant	2	6	-0.227244	0.346521	0.119277	2	6	0.75	NA
Gpr176	0.052356	-1.950725	0	5	15197.5	Discordant	1	0	0.036871	0.362178	0.399049	2	3	0.4	NA
Gpr45	0.020524	0.631599	4.4e-05	7	145802	Concordant	1	2	-0.013389	0.488263	0.474874	2	5	0.285714285714286	NA
Gpr68	-0.040137	-1.681423	0	7	2690	Concordant	1	3	-0.066226	0.588572	0.522346	3	4	0.571428571428571	Activity_Lost
Gpr85	0.037425	-0.651469	0	7	1169	Discordant	3	3	0.026798	0.81343	0.840228	4	3	0.571428571428571	Stable
Gprin3	-0.014028	-1.374163	0	2	75007	Concordant	1	1	-0.00238	0.220033	0.217653	1	1	0.5	Activity_Lost
Grhl2	-0.022698	-0.983863	0	10	414701	Concordant	3	2	0.023133	0.325604	0.348737	6	4	0.4	Activity_Lost
Grid1	0.05978	0.57691	1.8e-05	8	3175	Concordant	2	3	-0.010019	0.50542	0.495401	3	5	0.375	NA
Grin3b	-0.03239	1.248703	0.003063	9	3656	Discordant	0	1	-0.004393	0.363349	0.358956	8	1	0.111111111111111	Activity_Lost
Grip1	0.053078	1.129116	0	5	213694	Concordant	1	3	0.009563	0.275909	0.285472	2	3	0.4	NA
Grip2	-0.060428	0.502355	0.033869	9	28551	Discordant	0	9	-0.307359	0.307359	0	0	9	1	Activity_Gain
Grk3	-0.026626	-0.670456	0	8	26057	Concordant	1	7	-0.125414	0.424031	0.298617	1	7	0.875	Activity_Lost
Gsg1l	0.020175	0.792131	0	9	1516	Concordant	1	1	0.014543	0.392831	0.407374	5	4	0.555555555555556	Activity_Gain
Gstt1	-0.029667	-0.681022	4.3e-05	10	30187	Concordant	0	3	-0.054603	0.345252	0.290649	4	6	0.6	Activity_Lost
Gstt2	-0.04273	-1.502279	0.000382	16	8653	Concordant	0	1	-0.041588	0.501882	0.460294	7	9	0.5625	Activity_Lost
Gucy2e	0.010673	-0.653027	0.039169	9	171778	Discordant	1	0	0.008199	0.426709	0.434908	5	4	0.555555555555556	Stable
H1f4	0.021435	0.500834	0.00538	11	61515	Concordant	3	1	0.031912	0.40804	0.439952	6	5	0.545454545454545	NA
H4c6	0.023295	-1.363715	0.02846	11	1741317.5	Discordant	1	2	0.003473	0.406127	0.4096	6	5	0.545454545454545	NA
Hacd4	-0.038497	-1.011631	0	14	3554341.5	Concordant	4	8	-0.067211	0.408658	0.341447	4	10	0.714285714285714	NA
Hapln4	0.036832	0.874758	0	9	839	Concordant	4	1	0.062557	0.334638	0.397195	5	4	0.555555555555556	NA
Hcn3	0.015985	-1.020218	2e-06	9	17267	Discordant	1	0	0.018809	0.465435	0.484244	4	5	0.444444444444444	NA
Hcrtr2	0.070358	1.292808	2.4e-05	10	1556	Concordant	2	6	-0.029709	0.422035	0.392326	2	8	0.2	NA
Hdac11	-0.046708	-0.777489	0	10	3850	Concordant	2	2	-0.032358	0.478856	0.446498	6	4	0.4	Activity_Lost
Heatr5a	-0.026367	-0.703407	0	13	35135	Concordant	4	4	-0.011007	0.489363	0.478356	6	7	0.538461538461538	NA
Hectd2	-0.018286	-0.6129	5e-06	11	19981	Concordant	4	2	0.024383	0.215586	0.239969	7	4	0.363636363636364	Activity_Lost
Heg1	-0.090721	-1.66262	0	8	13751	Concordant	1	4	-0.140547	0.566714	0.426167	2	6	0.75	Activity_Lost
Hjurp	-0.012974	0.529163	0	2	80736	Discordant	0	2	-0.024025	0.054231	0.030206	0	2	1	Activity_Lost
Hlcs	-0.030844	-0.517912	0	5	5820	Concordant	2	2	-0.01826	0.400064	0.381804	3	2	0.4	Activity_Lost
Hmgcl	-0.057585	-0.652299	0	9	3675	Concordant	2	2	-0.058576	0.502698	0.444122	6	3	0.333333333333333	Activity_Lost
Hmgcll1	-0.024396	-0.826138	0	3	228826	Concordant	1	2	-0.031666	0.120126	0.08846	1	2	0.666666666666667	Activity_Lost
Hpcal1	-0.031266	-0.615989	0	9	26488	Concordant	1	4	-0.075849	0.551421	0.475572	3	6	0.666666666666667	Activity_Lost
Hpn	-0.017471	0.55315	0.000402	5	7492	Discordant	0	1	-0.014461	0.502675	0.488214	3	2	0.4	Stable
Hpse	-0.014921	4.243808	5e-06	12	290146	Discordant	2	3	-0.009502	0.510435	0.500933	6	6	0.5	NA
Hrk	0.028303	1.088214	0	11	75269	Concordant	4	2	0.037442	0.424465	0.461907	6	5	0.545454545454545	Stable
Hs3st3b1	-0.027513	2.215352	0.02387	10	157220.5	Discordant	3	3	-0.02757	0.391364	0.363794	3	7	0.7	NA
Hscb	-0.020956	-0.706202	0.014777	6	37343	Concordant	2	1	0.011426	0.3809	0.392326	4	2	0.333333333333333	Stable
Hsd17b1	0.010264	-1.95292	0.028248	12	4129	Discordant	1	0	-0.00388	0.603814	0.599934	5	7	0.416666666666667	NA
Hspa2	-0.010152	-0.57172	0.024443	4	400987	Concordant	0	1	-0.00185	0.157153	0.155303	2	2	0.5	Stable
Hspb8	0.041319	-1.287968	0	7	20888	Discordant	1	2	0.014765	0.378467	0.393232	3	4	0.428571428571429	Stable
Htr2c	-0.104828	3.293925	0	12	3478544	Discordant	1	9	-0.36792	0.571233	0.203313	1	11	0.916666666666667	Stable
Hydin	-0.046298	-0.599122	0.040301	7	3902	Concordant	1	3	-0.054911	0.511808	0.456897	2	5	0.714285714285714	K119ub_Only
Iah1	-0.024072	-0.58474	0.007981	12	156270	Concordant	4	5	-0.034188	0.60246	0.568272	5	7	0.583333333333333	Activity_Lost
Ift57	-0.015845	-0.845631	0	6	22569	Concordant	0	2	-0.02694	0.359324	0.332384	2	4	0.666666666666667	Activity_Lost
Igfbp5	0.014347	-0.544886	0	13	3663	Discordant	3	1	0.007313	0.725008	0.732321	7	6	0.538461538461538	Stable
Ikzf2	0.03077	-0.658497	5e-06	6	1954	Discordant	3	1	0.043485	0.255595	0.29908	5	1	0.833333333333333	K119ub_Only
